"Acidovorax","Acinetobacter","Actinomyces","Aerococcus","Aeromicrobium","Aeromonas","Afipia","Aggregatibacter","Alistipes","Alkalibacterium","Alloprevotella","Anaerococcus","Anaeroplasma","Anaerostipes","Anaerovorax","Anoxybacillus","Arthrobacter","Asticcacaulis","Atopobium","Atopococcus","Atopostipes","Bacillus","Bacteroides","Barnesiella","Bilophila","Blastococcus","Blautia","Brachybacterium","Bradyrhizobium","Brevibacterium","Brevundimonas","Butyricicoccus","Butyricimonas","Campylobacter","Capnocytophaga","Chryseobacterium","Citricoccus","Citrobacter","Cloacibacillus","Cloacibacterium","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonas","Coprococcus","Corynebacterium","Deinococcus","Dermabacter","Desulfotomaculum","Devosia","Dialister","Diaphorobacter","Dietzia","Dorea","Eggerthella","Eikenella","Enhydrobacter","Enterococcus","Escherichia.Shigella","Eubacterium","Exiguobacterium","Faecalibacterium","Finegoldia","Flavonifractor","Fusobacterium","Gemella","Gordonia","Granulicatella","Haematobacter","Haemophilus","Herbaspirillum","Hydrotalea","Janibacter","Kocuria","Kurthia","Lachnoanaerobaculum","Lactobacillus","Lactococcus","Legionella","Leptotrichia","Leucobacter","Leuconostoc","Luteococcus","Massilia","Megamonas","Megasphaera","Meiothermus","Methylobacterium","Microbacterium","Micrococcus","Microvirga","Mobiluncus","Mogibacterium","NA.","Neisseria","Odoribacter","Oribacterium","Oscillibacter","Paenibacillus","Parabacteroides","Paracoccus","Paraprevotella","Parasutterella","Parvimonas","Pedobacter","Pelomonas","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phenylobacterium","Plantibacter","Porphyromonas","Prevotella","Propionibacterium","Pseudochrobactrum","Pseudomonas","Pseudorhodoferax","Pyramidobacter","Ralstonia","Rhizobium","Riemerella","Rikenella","Roseburia","Rothia","Ruminococcus","Ruminococcus2","Sarcina","Schlegelella","Sneathia","Solobacterium","Sphingomonas","Spirosoma","Sporosarcina","Staphylococcus","Stenotrophomonas","Streptococcus","Subdoligranulum","Sutterella","Tepidimonas","Terrabacter","Tessaracoccus","Thermus","Treponema","Ureaplasma","Variovorax","Veillonella","Victivallis","Xanthobacter"
0,0,0.46,0,0,0,0,0,2.6,0,0,0,0,0,1.24,10.91,0,0,0,0,0,0,109.77,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,1.9,0,0,1.34,0.48,0,0,1.23,0,0,0,0,0,0,0,0,2.63,0.45,0,0,0.34,20.38,0,0,80.17,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1,0,1.25,0,28.95,0,3.9,0,2.09,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,12.39,0,4.89,3.75,0.46,0,0,0,0,0,0,0,0,2.92,0.82,0,0,0,0,0,0,0,0,0.91,0,0
0.76,0,2.42,0,0,0,0,0,0.79,0,8.56,0,0,0,0.83,3.95,0,0,0.86,0,0,0,10.49,0,0,0,1.67,0,0.88,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0.73,0,2.41,2.27,1.48,0,0,7.05,0,0,0,0,0,2.39,0,0,3.21,0,0,0,0,0.8,2.56,0.76,25.71,0,0,9.47,6.42,0,0.79,0,0,1.66,0,0,0,0,0,0,0,0.82,0.8,0,0,0,0.79,4.69,0.75,0,2.36,83.26,0,0,0,0,108.94,0,0,0,2.25,0,8.01,0,0.69,3.25,22.44,0,0,0,6.2,0.77,0,0,0,35.6,0,0,0,0,0,0.85,0,0.8,0,0,1.54,0,7.98,0,0,0,0,0,0,0,0,0,3.92,0,0,0.81,0,0,0,0,0,0,0.78,0,0
0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,1.67,0,0,0,0,0,0,93.27,0.82,0,0,13.21,0,1.65,0,0.8,0.87,0.89,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.61,0.82,0,4.04,2.54,0,0,0,0,0,0,0,15.5,1.61,0,0.81,0.82,0,0,0,131.42,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0.85,13.29,0,0,0,0,67.88,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,6.75,12.25,0,0,0,0,0.86,0,0,0,0,3.33,0,0,0,0,0,3.17,0,0,1.61,0,0,0
0.97,0,13.06,0.91,0,2.78,0,0,1.84,0,7.49,2.78,0,0,1.85,55.8,0,0,0,0,0,0,25.06,0,0,0,4.51,0,1.81,0,1.92,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,8.5,0,0,0,2.81,3.67,4.75,0,0,0,0,0,1.88,1.86,0,0,0.95,1.86,2.74,0,0,3.72,0,0,0,0,0,15.92,0,0.93,4.6,0.93,0,0,0,0,0.97,0,1.87,0,0,0,0.9,0,0.91,0,0.93,2.9,16.86,0,0,0,0,71.06,0,0,0,2.8,0,5.65,0,0,0,0,0,0,31.73,2.81,0.94,0,0,0,0,2.87,0,0,0,0,0,0,0,0,9.19,0.92,0,0.94,0,0,0,1.85,1.87,0,0,0.92,0,33.82,0,0,3.7,0.94,0,12.12,0,0,3.63,4.66,0,0.9
0,0.94,0,0.92,0.88,0,0.93,0,1.79,0,0,0,0,0,0,137.74,0,0,0,0,0,0,13.7,0,0,0,0,0.97,0,0,1.87,0,0,0,0,0.94,0,2.83,0,0,0,0,0,0,1.8,0,0,0,0,0,8.19,57.14,0,0,0,0,0,3.71,0,0,0.9,4.6,0.91,0,0,0,1.76,0,0,0,3.53,0,5.53,0,0.93,7.28,0,0,3.76,0,0,0,0,0.95,0,0,0.9,0,0.93,3.64,0.92,2.8,6.4,15.41,2.75,0,1.84,0,52.8,0,0,0,0.94,0,1.93,0.91,0,0,0.95,0,0,0,0,0.94,0,0,0.95,1.86,2.76,0,0.95,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,4.63,0,0.87,6.45,0,6.4,0,0,6.49,0,0,4.57,0,0,2.78,0.87,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,66,0,0,0,0,0,0,38,0,0,0,3,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,57,6,0,5,0,0,0,2,7,0,0,0,0,0,3,0,0,0,1,1,6,0,0,22,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,8,21,0,0,0,0,52,0,1,0,1,0,3,0,0,0,3,0,0,0,0,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,3,1,0,1,0,3,0,0,5,0,0,53,0,0,1,0,0,0
0,0,1.36,0.68,0,0,0,0,2.03,0,0,0,0,0,0,10.65,0,0,0,0,0,0,101.62,0,0,0,7.25,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.68,0,7.19,1.89,0,0,0,5.86,1.89,0.65,0,0,0,0,1.4,0,10.17,0,0,0,0,1.29,0,0,35.27,0,0,1.33,0,0,0.67,0,0.65,0.65,0,0,0,0,0,2.14,0,0,0,0.65,0,0,0.69,0,0,0,0.78,2.73,0,0,0,0,85.92,0.72,2.58,0,3.33,0.64,0.65,0,0,0.7,1.45,1.9,0.64,0,0,4.53,0,0,0,0,2.62,0,1.97,0,0,0,0,0,0,7.22,0,0,76.55,0,0,0,0,0,1.36,0,0,0,1.39,0,0,2.7,0,0.66,1.35,0,0,0.74,0.57,0,0
0,0,0.95,0,0,0,0,0.44,1.7,0,0,0,0,0,0,34.44,0,0,0,0,0,0,61.54,0,0,0,2.34,1.69,0,0,0.91,1.73,0,0,2.62,0.52,0,0,0,0,0,15.18,0,0,10.56,8.56,0,0,0,12.62,5.68,1.45,0,0.79,0,0,0,0.96,3.19,0,0.5,0.81,0,1.5,0,0,67.04,0,0,31.01,2.21,0,2.62,0,0,2.23,0,0,1.42,0,1.28,0,0,0.58,9.01,0,0,0,0,0.51,0,0,0.88,5.08,0.48,0.39,0.5,0,64.28,0,0,0,0.44,0,0.46,0,0.43,0.48,3.03,0,0,0,0.88,0,0.38,0,0.44,0.35,7.94,0.46,0,0,0,1.06,0.29,0,0.46,2.73,0,0,3.55,0,0.36,0,0,0.51,0,0,2.34,0,3.43,0.48,0,7,0,0,1.9,0,0,0,1.4,0,0
0,0,0.91,0,0,0,0,0,2.48,0,0,0,0,0,0.47,2.89,0,0,0,0,0.39,0,102.76,0,0.38,0,6,0.96,0,0,0.45,0.48,0,0,0,0,0,0,0,0,2.87,0,0.37,0,0.92,0.99,0,0,0.45,2.66,1.43,2.32,0,0,0,0.55,0.41,0.89,1.45,0,0,0.49,0.47,18.85,0,0,70.95,0,0,1.36,0.43,0,0,0,0,0,0,0,0.43,0,0,2.74,0,0,0.46,0,0,0,0,0.41,0,0,0,0,0,0,0.47,0,112.6,0,1.77,0,18.08,0,2.18,1.45,0.86,1,0,0,0,0.35,0,0.91,0,0,0.96,1.31,4.75,0,0,0,0,0,0,0,0,6.24,0.47,3.17,3.49,0.51,0,0,0,0,0,0,2.02,0,4.72,0.47,0.45,0.43,0,0,0,0,0,0,1.33,0.94,0
0,0,0.65,0.66,0,0,0,0,0.75,0,7.85,0,0,0.7,0,30.16,0,0,0,0,0,0,25.9,0,0,0,0.65,0.79,0,0.73,0,0,0,0.67,0,0.66,0,0,0,0,0,0,0.67,0,6.91,8.4,0.65,0,0,7.52,3.6,5.51,0.74,0,0,7.73,0,1.45,0,0,0,0,0,0,0.66,0,31.54,0,0,31.02,16.52,0,0.68,0,0,0.63,0,0.66,0,0,0,2.04,0,0,12.43,0,0,0,0,2.63,0,0,0,1.49,0.7,0,0.66,0.68,59.34,0,0,0.73,4.28,0,7.54,0,0,0.66,35.74,0,0,0.71,17.21,0.68,0,0,2.69,30.94,6.48,0,0.65,0,0,1.4,0.72,0,0,0.72,0,0,4.16,0,0,0,1.4,0,0,0,0,0,2.83,0,0,3.55,0,0,0.74,0,0,0,2.14,0,0
