"Group","Acidaminococcus","Acidobacteria_Gp4_unclassified","Acidovorax","Acinetobacter","Actinobacteria_unclassified","Actinomyces","Actinomycetaceae_unclassified","Actinomycetales_unclassified","Aeromonas","Afipia","Akkermansia","Alcaligenaceae_unclassified","Alcaligenes","Alicyclobacillaceae_unclassified","Alistipes","Alloprevotella","Alphaproteobacteria_unclassified","Anaerobacillus","Anaerococcus","Anaerofilum","Anaerostipes","Anaerovorax","Aquabacterium","Aquaspirillum","Asteroleplasma","Bacillaceae_1_unclassified","Bacillales_unclassified","Bacilli_unclassified","Bacillus","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacterium","Bilophila","Blautia","Bordetella","Bradyrhizobiaceae_unclassified","Bradyrhizobium","Brevundimonas","Burkholderiaceae_unclassified","Burkholderiales_unclassified","Butyricimonas","Campylobacter","Caulobacteraceae_unclassified","Chitinophagaceae_unclassified","Chryseobacterium","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_unclassified","Clostridium_III","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Comamonadaceae_unclassified","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacterium","Cryomorphaceae_unclassified","Cupriavidus","Delftia","Desulfovibrio","Dialister","Dorea","Eggerthella","Eikenella","Enhydrobacter","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Erysipelotrichaceae_unclassified","Ethanoligenens","Eubacteriaceae_unclassified","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavobacterium","Flavonifractor","Fontibacillus","Fusobacteriaceae_unclassified","Fusobacteriales_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Gemella","Haemophilus","Helcococcus","Herbaspirillum","Holdemania","Howardella","Hydrogenophilus","Hymenobacter","Lachnoanaerobaculum","Lachnospiraceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Leptotrichia","Leptotrichiaceae_unclassified","Leuconostoc","Leuconostocaceae_unclassified","Macrococcus","Magnetospirillum","Megamonas","Mesorhizobium","Methylobacterium","Microvirgula","Mitsuokella","Mobiluncus","Mogibacterium","Moryella","Mycetocola","Neisseriaceae_unclassified","Nitratireductor","Ochrobactrum","Odoribacter","Olsenella","Oscillibacter","Oxalobacteraceae_unclassified","Paenibacillaceae_1_unclassified","Parabacteroides","Paraeggerthella","Paraprevotella","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Pelosinus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phenylobacterium","Phyllobacteriaceae_unclassified","Phyllobacterium","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacteriaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Proteus","Pseudomonadaceae_unclassified","Pseudomonadales_unclassified","Pseudomonas","Pyramidobacter","Rhizobiaceae_unclassified","Rhizobiales_unclassified","Rhodobacteraceae_unclassified","Rikenellaceae_unclassified","Roseateles","Roseburia","Roseomonas","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Selenomonadales_unclassified","Skermanella","Sneathia","Sphingomonadaceae_unclassified","Sphingomonadales_unclassified","Sphingomonas","Sporobacter","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Sulfurospirillum","Sutterella","Synergistaceae_unclassified","Tepidimonas","Thauera","Tissierella","Turicibacter","Veillonella","Veillonellaceae_unclassified","Vitreoscilla","Vogesella","Weissella","Xanthomonadaceae_unclassified","Xanthomonas"
"SRR1556453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,357,2,31,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SRR1556456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,11,1514,6,1,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,1,0,92,0,6,3,42,150,0,131,0,0,0,1,0,0,0,0,0,14,0,0,0,0,14,34,2,5,0,0,0,7,0,0,64,0,74,11,11329,0,0,0,0,0,14,0,0,0,0,86,0,1,0,54,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,5,0,1,0,0,0,0,1852,413,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,48,0,0,2,0,0
"SRR1556460",0,0,0,0,0,0,0,3,0,3,3,0,0,1,109,0,0,0,1,0,82,55,0,0,0,0,0,2,0,226,70,7462,9,532,0,0,4,32,0,0,4,0,4,0,0,11,0,0,0,5,0,0,114,0,14,2,22,30,114,3,0,0,5,19,0,0,0,0,0,64,963,0,0,0,656,0,0,1,0,0,0,261,0,0,41,0,8,0,367,0,142,0,0,0,6,0,0,0,0,1357,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,791,0,0,0,0,0,0,95,103,0,0,3,356,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,56,0,1001,0,7,0,0,0,3,5,90,1,0,171,120,0,0,0,0,0,0,1,1,11,0,0,30,0,0
"SRR1556462",0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,0,0,0,1,0,5,0,0,0,0,0,1,1,0,143,8,2323,87,9,0,0,0,1,0,0,0,0,0,0,37,2,0,0,0,2,0,1,15,0,1,0,0,67,292,0,0,0,0,0,0,0,0,2,0,2,25,0,0,2,10549,1,0,1,0,0,0,17,0,0,21,0,15,0,940,1,19,0,0,0,0,0,0,0,0,83,0,0,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,5,0,0,32,0,2,13,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,151,0,44,0,0,0,0,0,6,0,0,89,182,0,0,0,0,0,0,0,0,36,0,0,20,0,0
"SRR1556463",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,0,16,117,1839,17,0,110,0,0,6,0,1,0,0,77,6,0,0,0,0,0,1,0,0,20,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,25,0,0,0,0,291,8,0,31,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,87,0,0,0,0,0,0,0,11,0,1,0,0,63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0
"SRR1556464",0,1,1,1,0,1,0,2,0,0,0,0,0,0,29,0,0,0,0,0,9,0,0,0,0,0,0,1,0,27,166,13275,38,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,89,532,0,2,0,0,0,4,0,0,0,0,0,0,0,13,0,1,1551,0,0,0,0,0,0,11,0,0,63,0,0,0,0,0,1,0,0,0,56,0,0,0,0,268,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2112,0,0,0,0,1,0,0,7,5,0,0,0,5,0,0,0,0,2,1,20,0,0,0,0,0,0,0,0,0,1,0,189,0,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,152,0,0,57,0,0
"SRR1556465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,5,0,0,0,0,0,0,0,0,42,202,21480,24,0,0,0,0,4402,0,0,0,0,0,0,0,0,0,0,0,5,0,0,119,0,9,0,8,392,0,7,0,0,0,9,0,0,0,0,0,145,0,23,0,0,346,4,0,67,2,0,0,321,0,0,56,0,9,0,168,0,5,0,0,0,12,0,0,0,0,2689,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,18,0,0,140,0,0,0,24,11,0,0,3,78,2,0,0,10,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,276,0,438,0,0,0,0,0,0,1,0,9,118,0,0,0,0,0,0,0,0,47,0,0,2,0,0
"SRR1556466",0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,24,1,0,0,0,0,0,0,0,80,198,24272,41,0,0,0,1,308,0,0,0,0,0,0,0,1,0,0,0,12,0,3,206,0,16,0,6,613,0,15,0,0,0,3,0,0,0,0,0,76,1,39,0,0,109,9,0,324,0,0,0,577,0,0,147,0,17,0,658,0,15,0,0,0,19,0,0,0,0,2357,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,28,0,0,280,0,0,0,189,2,0,0,6,424,0,0,0,11,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2366,0,526,0,6013,0,0,0,0,0,0,0,0,62,202,0,0,0,0,0,0,0,0,91,0,0,1,0,0
"SRR1556467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,6,65,0,0,0,0,0,0,0,0,91,152,10979,36,0,15,0,0,109,0,0,0,0,0,47,0,0,0,0,0,1,0,0,53,0,7,0,0,389,199,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,11,0,0,0,103,1,0,18,0,0,0,0,0,0,0,0,0,30,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,58,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4314,477,0,0,3,0,0,0,0,3,0,0,0,12,0,3,0,3205,0,45,0,0,0,0,0,0,0,0,2,3,0,804,0,0,0,0,0,0,1,0,0,0,0,0
"SRR1556468",0,0,0,2,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,6,290,0,0,0,0,0,0,0,0,149,172,18829,47,0,23,0,0,59,0,0,0,0,0,69,0,0,0,0,0,6,0,0,61,0,16,0,0,297,376,3,0,0,0,1,0,0,0,0,0,249,0,4,0,0,8,0,0,30,0,0,0,95,0,0,41,0,1,0,0,0,2,0,0,0,60,0,0,0,0,711,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,133,0,0,1351,0,0,0,0,0,0,0,0,0,2,0,0,12,0,5808,528,0,0,4,0,0,0,0,14,0,0,0,14,0,23,0,8001,0,129,1,0,0,0,1,1,2,0,2,55,0,2068,0,0,0,0,0,0,7,0,0,4,0,0
