"Acetanaerobacterium","Acetitomaculum","Acetivibrio","Achromobacter","Acidaminococcaceae_unclassified","Acidaminococcus","Actinobacteria_unclassified","Actinomyces","Actinomycetaceae_unclassified","Actinomycetales_unclassified","Afipia","Akkermansia","Alcaligenaceae_unclassified","Alistipes","Alkalibaculum","Allisonella","Allobaculum","Alloprevotella","Alphaproteobacteria_unclassified","Anaerobacter","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroplasma","Anaerosalibacter","Anaerostipes","Anaerotruncus","Anaerovorax","Arcobacter","Asaccharobacter","Asteroleplasma","Atopobium","Azomonas","Bacilli_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Bdellovibrionales_unclassified","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Brachybacterium","Brachyspira","Bradyrhizobiaceae_unclassified","Brevundimonas","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Campylobacter","Campylobacterales_unclassified","Candidatus_Saccharibacteria_unclassified","Catenibacterium","Cellulosibacter","Cellulosilyticum","Cetobacterium","Chloroflexus","Cloacibacillus","Cloacibacterium","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_Incertae_Sedis_XIII_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacterium","Cryomorphaceae_unclassified","Deltaproteobacteria_unclassified","Dermabacter","Dermabacteraceae_unclassified","Desulfovibrio","Desulfovibrionaceae_unclassified","Desulfovibrionales_unclassified","Dialister","Dorea","Dysgonomonas","Eggerthella","Elusimicrobium","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Enterorhabdus","Erysipelotrichaceae_unclassified","Escherichia.Shigella","Ethanoligenens","Eubacteriaceae_unclassified","Eubacterium","Faecalibacterium","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavobacteriales_unclassified","Flavonifractor","Fusobacteriaceae_unclassified","Fusobacteriales_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Garciella","Gemmiger","Gordonibacter","Gracilibacteraceae_unclassified","Granulicatella","Haemophilus","Hallella","Hespellia","Holdemania","Howardella","Hydrogenoanaerobacterium","Kerstersia","Klebsiella","Kluyvera","Lachnoanaerobaculum","Lachnospira","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Lactonifactor","Lentisphaerae_unclassified","Lentisphaeria_unclassified","Leptotrichia","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Mesorhizobium","Mitsuokella","Mogibacterium","Mollicutes_unclassified","Moryella","Nitrobacter","Novosphingobium","Odoribacter","Olsenella","Opitutae_unclassified","Oribacterium","Ornithinimicrobium","Oscillibacter","Oxalobacter","Paludibacter","Pannonibacter","Parabacteroides","Paracoccus","Paraprevotella","Parasporobacterium","Parasutterella","Parcubacteria_unclassified","Parvimonas","Pasteurellaceae_unclassified","Peptococcaceae_1_unclassified","Peptococcus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonadaceae_unclassified","Pseudoramibacter","Pyramidobacter","Raoultella","Rhodobacteraceae_unclassified","Rhodospirillaceae_unclassified","Rhodospirillales_unclassified","Rickettsiaceae_unclassified","Rikenella","Rikenellaceae_unclassified","Robinsoniella","Roseburia","Roseomonas","Rothia","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Saccharofermentans","Sarcina","Schwartzia","Sedimentibacter","Sediminibacterium","Selenomonadales_unclassified","Slackia","Sneathia","Sphingobacterium","Sphingomonas","Sporacetigenium","Sporobacter","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Succinatimonas","Succiniclasticum","Succinivibrio","Succinivibrionaceae_unclassified","Sutterella","Synergistaceae_unclassified","Syntrophococcus","Tannerella","Tissierella","Treponema","Turicibacter","Vampirovibrio","Veillonella","Veillonellaceae_unclassified","Victivallis","Xylanibacter"
0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,17.61,0.43,0,0,0,0,0,0,0,7.84,1.86,408.55,27.07,1.18,0,0,0,0,0,27.43,0,0,0,0,0,1.63,2.63,0,0,0,0,0,0,0,0,0.59,0,4.82,0,0,0,60.14,5.37,0,1.2,0,2.12,0.59,0.74,0,0,25.35,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,1.11,0,0,0,0,71.51,0,14.27,0,0,0.92,0,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.51,118.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,22.27,0,0,0,24.57,0,0,0,0.46,0,0,0,0,0,0,0.71,0,0,0,0,0.2,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,13.42,0,0,82.91,25.13,4.9,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,41.82,0,0,0,0,3,0,0,0,0,0,0,5.36,0.4,0.17,0,0,0,0,0,0,10.68,1.4,468.03,0,0,0,0,0,0,0,35.63,0,0,0,0,0,0.7,7.4,0,0,0,0,0,0,0,0,0,0,2.03,4.9,0,0,59.4,7.93,0.57,2.6,0,0.52,0.48,0.4,0,0.19,19.01,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0.61,0,0,0,0,46.75,0,18.02,0,0,0.4,0,0,0,0,0,22.35,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0.75,79.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,41.54,0,0,0,12.79,0,12.46,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0,64.8,21.28,5.66,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.16,0,0,0,0,0,0,0,0,0,0,95.17,0,0,0,0,0,0,0,0,0,0,0,11.13,1.02,0.61,0,0,0,0,0,0,10.8,0.59,96.77,0,0,0,0,0,0,0,36.17,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0.56,3.27,0,0,56.25,10.29,0.51,1.16,0,0,0.94,1.13,0,0,14.26,0,0,0,0.58,0,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0.5,0,0,0,0,43.78,0,21.04,0,0,3.28,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,327.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.47,0,0,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,117.79,42.42,23.48,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,34.75,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,0,0,0,1.04,2.79,251.39,0,0,0,0,0,0,0,47.11,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,18.33,5.23,3.59,2.62,0,3.01,0.57,0,0,0,21.27,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0.49,0,0,0,0,71.17,0,0.57,0,0,0.56,0,0,0,0,0,10.98,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.48,169.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,47.23,0,0,0,18.94,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,198.88,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,27.61,18.62,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,0,0,15.95,0,0,0,0,0,0,0,0,1,2,628.8,0,6.18,0,0,0,0,0,54.55,0,0,0,0,0,0.5,0.97,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,8.37,0,0.43,0.55,0,6.48,0.41,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,1.43,3.62,0,0,0,0,0,0,0.59,0,0,0,0,44.25,0,0.55,0,0,1.06,0,0,0,0,0,2.47,0,0,0,0,0.39,0,0,0,0,0,0,0,0,1.93,81.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,0,7.13,0,0,0,16.25,0,0.56,0,0,0,0,0,0,0,0,0.52,0,0,1.21,0,68.05,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,10.14,6.28,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,22.83,0,0,0,63.91,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,1.72,1.61,504.74,0,8.34,0,0,0,0,0,16.05,0,0,0,0,0,0.86,4.18,0,0,0,1.23,0,0,0,0,0,0,0,1.97,0,0,19.82,8.31,2.55,5.67,0,1.27,0.45,0,0.43,0,12.19,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,55.27,0,0.85,0,0,1.52,0,0,0,0,0,5.49,0,0,0,0,0,0,0.81,0,0,0,0,0,0,4.09,111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,15.94,0,0,0,18.47,0,4.28,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,0,43.1,24.87,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.14,0,0,0,0,0,0,0,0,0,0,24.44,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0.51,1.9,619.85,0,8.28,0,0,0,0,0,29.08,0,0,0,0,0,0.78,0.96,0,0,0,0,0,0,0,0,0,0,0.15,0.67,0,0,4.44,2.67,0.49,0.68,0,4.92,0.21,0,0.17,0,2.09,0.21,0,0,0,0,0,0,0,0,0,2.32,9.5,0.19,0,0,0,0,0,0.72,0,0,0,0,39.67,0,1.22,0,0,1.02,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,66.37,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,3.21,0,0,0,0,7.34,0,0,0,24.09,0,2.03,0,0,0,0,0,0,0,0,0.51,0,0,0.63,0,94.89,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17,0,0,12.48,5.68,3.91,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,27.98,0,0,0,0,8.78,0,0,0,0,0,0,13.11,0,0,0,0,0,0,0,0,7.53,2.55,662.52,0.21,30.75,0,0,0,0,0,33.65,0,0,0,0,0,0.29,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,2.65,0,0,0,3.26,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0.19,0.27,0,0,0,0,0,0.17,0,0,2.23,0,0,0.99,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,38.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,3.29,0,0,0,65.98,0,57.98,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,27.21,0,0,11.42,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.32,0,0,0,0,0,0,0,23.46,0,0,0,0,0,0,0,0,0.25,0,0,11.18,0,0,0,0,0,0,0,0,0.86,1.97,595.95,0.48,8.98,0,0,0,0,0,32.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0.18,0,0,7.73,1.1,0.47,0.69,0,4.86,0.49,0.19,0.45,0,1.29,0,0,0,0,0,0,0,0,0,0,1.01,15.61,0,0,0,0,0,0,0,0.16,0,0,0,35.76,0,1.8,0,0.18,2.43,0,0,0,0,0,1.29,0,0,0,0,0,0,0.46,0,0,0,0,0,0,1.34,71.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,7.68,0,0,0,22.45,0,1.76,0,0,0,0,0,0,0,0,0.16,0,0,0.39,0,121.01,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.58,0,0,9.39,2.96,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,19.77,0,0,0.32,0,0,0,0,0,0,0,0,34.72,0,0.75,0,0,0,0,0,0,0.36,0.78,320.94,1.06,21,0,0,0,0,0,42.89,0,0,0,0,0,0.73,1.07,0,0,0,0,0,0,0,0,0,0,2.17,0.28,0,0,9.58,5.32,1.23,7.22,0,1.06,0,0.38,1.01,0,11.11,0.72,0,0,0,0,0,0,0,0,0,2.89,0.37,0,0,0,0,0,0,0,0,0,0,0,142.36,0,8.4,0,0,0.28,0,0,0,0,0,32.86,0,0,0,0,0,0,0.29,0,0.36,0,0,0,0,12.68,169.57,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,12.54,0,0,0,18.92,0,0,0,0,0,0,0,0,0,0,1.94,0,0,1.96,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.76,0,0,60.69,23.77,11.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
