"Group","Acetanaerobacterium","Acetitomaculum","Acetivibrio","Achromobacter","Acidaminococcaceae_unclassified","Acidaminococcus","Actinobacteria_unclassified","Actinomyces","Actinomycetaceae_unclassified","Actinomycetales_unclassified","Afipia","Akkermansia","Alcaligenaceae_unclassified","Alistipes","Alkalibaculum","Allisonella","Allobaculum","Alloprevotella","Alphaproteobacteria_unclassified","Anaerobacter","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroplasma","Anaerosalibacter","Anaerostipes","Anaerotruncus","Anaerovorax","Arcobacter","Asaccharobacter","Asteroleplasma","Atopobium","Azomonas","Bacilli_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Bdellovibrionales_unclassified","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Brachybacterium","Brachyspira","Bradyrhizobiaceae_unclassified","Brevundimonas","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Campylobacter","Campylobacterales_unclassified","Candidatus_Saccharibacteria_unclassified","Catenibacterium","Cellulosibacter","Cellulosilyticum","Cetobacterium","Chloroflexus","Cloacibacillus","Cloacibacterium","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_Incertae_Sedis_XIII_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacterium","Cryomorphaceae_unclassified","Deltaproteobacteria_unclassified","Dermabacter","Dermabacteraceae_unclassified","Desulfovibrio","Desulfovibrionaceae_unclassified","Desulfovibrionales_unclassified","Dialister","Dorea","Dysgonomonas","Eggerthella","Elusimicrobium","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Enterorhabdus","Erysipelotrichaceae_unclassified","Escherichia/Shigella","Ethanoligenens","Eubacteriaceae_unclassified","Eubacterium","Faecalibacterium","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavobacteriales_unclassified","Flavonifractor","Fusobacteriaceae_unclassified","Fusobacteriales_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Garciella","Gemmiger","Gordonibacter","Gracilibacteraceae_unclassified","Granulicatella","Haemophilus","Hallella","Hespellia","Holdemania","Howardella","Hydrogenoanaerobacterium","Kerstersia","Klebsiella","Kluyvera","Lachnoanaerobaculum","Lachnospira","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Lactonifactor","Lentisphaerae_unclassified","Lentisphaeria_unclassified","Leptotrichia","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Mesorhizobium","Mitsuokella","Mogibacterium","Mollicutes_unclassified","Moryella","Nitrobacter","Novosphingobium","Odoribacter","Olsenella","Opitutae_unclassified","Oribacterium","Ornithinimicrobium","Oscillibacter","Oxalobacter","Paludibacter","Pannonibacter","Parabacteroides","Paracoccus","Paraprevotella","Parasporobacterium","Parasutterella","Parcubacteria_unclassified","Parvimonas","Pasteurellaceae_unclassified","Peptococcaceae_1_unclassified","Peptococcus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonadaceae_unclassified","Pseudoramibacter","Pyramidobacter","Raoultella","Rhodobacteraceae_unclassified","Rhodospirillaceae_unclassified","Rhodospirillales_unclassified","Rickettsiaceae_unclassified","Rikenella","Rikenellaceae_unclassified","Robinsoniella","Roseburia","Roseomonas","Rothia","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Saccharofermentans","Sarcina","Schwartzia","Sedimentibacter","Sediminibacterium","Selenomonadales_unclassified","Slackia","Sneathia","Sphingobacterium","Sphingomonas","Sporacetigenium","Sporobacter","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Succinatimonas","Succiniclasticum","Succinivibrio","Succinivibrionaceae_unclassified","Sutterella","Synergistaceae_unclassified","Syntrophococcus","Tannerella","Tissierella","Treponema","Turicibacter","Vampirovibrio","Veillonella","Veillonellaceae_unclassified","Victivallis","Xylanibacter"
"CRC001",0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,73,2,0,0,0,0,0,0,0,35,8,1738,115,5,0,0,0,0,0,113,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,3,0,20,0,0,0,250,21,0,5,0,9,2,3,0,0,106,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5,0,0,0,0,302,0,61,0,0,4,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,6,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,94,0,0,0,105,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0,0,351,106,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC002",0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,18,0,0,0,0,0,0,33,3,1,0,0,0,0,0,0,66,9,2908,0,0,0,0,0,0,0,225,0,0,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,13,30,0,0,371,48,4,16,0,3,3,3,0,1,122,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,294,0,113,0,0,2,0,0,0,0,0,138,0,0,0,0,0,0,1,0,0,0,0,0,0,5,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,257,0,0,0,79,0,75,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,409,136,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC003",0,0,2,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,21,2,1,0,0,0,0,0,0,20,1,176,0,0,0,0,0,0,0,66,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,104,19,1,2,0,0,2,2,0,0,26,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,79,0,39,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,217,80,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC004",0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,5,487,0,0,0,0,0,0,0,90,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,10,7,5,0,6,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,139,0,1,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,3,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,91,0,0,0,36,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,387,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,54,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC005",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,4,1229,0,13,0,0,0,0,0,107,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,1,1,0,13,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,1,0,0,0,0,86,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14,0,0,0,31,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,132,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,20,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC006",0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,168,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,4,1330,0,21,0,0,0,0,0,42,0,0,0,0,0,2,11,0,0,0,3,0,0,0,0,0,0,0,5,0,0,51,21,7,15,0,3,1,0,1,0,33,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,148,0,2,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,11,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,42,0,0,0,48,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,111,65,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC007",0,0,1,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,3,11,3604,0,47,0,0,0,0,0,174,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,4,0,0,26,15,3,4,0,29,1,0,1,0,12,1,0,0,0,0,0,0,0,0,0,13,57,1,0,0,0,0,0,4,0,0,0,0,238,0,8,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,393,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,44,0,0,0,141,0,12,0,0,0,0,0,0,0,0,3,0,0,4,0,556,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,76,33,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC008",0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,39,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,32,12,2845,1,133,0,0,0,0,0,145,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,0,0,0,282,0,249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,48,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC009",0,0,0,0,0,1,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,1,0,0,52,0,0,0,0,0,0,0,0,4,9,2796,2,41,0,0,0,0,0,149,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,37,6,2,3,0,21,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0,0,0,0,1,0,0,0,168,0,9,0,1,12,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,6,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,35,0,0,0,103,0,8,0,0,0,0,0,0,0,0,1,0,0,2,0,565,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,43,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRC010",0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0,0,0,0,0,0,0,95,0,2,0,0,0,0,0,0,1,2,894,3,59,0,0,0,0,0,118,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,6,1,0,0,26,14,3,20,0,3,0,1,3,0,32,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,393,0,23,0,0,1,0,0,0,0,0,91,0,0,0,0,0,0,1,0,1,0,0,0,0,36,477,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,35,0,0,0,53,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,167,66,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
