"Group","Abiotrophia","Acetobacter","Achromobacter","Acidaminococcus","Acinetobacter","Actinobacteria_unclassified","Actinomyces","Actinomycetales_unclassified","Aggregatibacter","Akkermansia","Alistipes","Allisonella","Allobaculum","Alloprevotella","Alloscardovia","Alphaproteobacteria_unclassified","Aminicenantes_unclassified","Anaerococcus","Anaerofustis","Anaerotruncus","Aneurinibacillus","Arcobacter","Atopobium","Bacillaceae_2_unclassified","Bacillales_unclassified","Bacilli_unclassified","Bacillus","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Bulleidia","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Calditerrivibrio","Caloramator","Campylobacter","Campylobacterales_unclassified","Candidatus_Saccharibacteria_unclassified","Capnocytophaga","Cardiobacterium","Catenibacterium","Catonella","Cetobacterium","Chitinophagaceae_unclassified","Chromatiaceae_unclassified","Cloacibacillus","Cloacibacterium","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonadaceae_unclassified","Comamonas","Coprobacillus","Coriobacteriaceae_unclassified","Corynebacterium","Cryomorphaceae_unclassified","Deltaproteobacteria_unclassified","Desulfobacteraceae_unclassified","Desulfobulbaceae_unclassified","Desulfomicrobium","Desulfotomaculum","Desulfovibrio","Desulfovibrionaceae_unclassified","Desulfovibrionales_unclassified","Dialister","Dorea","Edwardsiella","Eggerthella","Eikenella","Enhydrobacter","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Enterorhabdus","Erysipelothrix","Erysipelotrichaceae_unclassified","Escherichia/Shigella","Eubacteriaceae_unclassified","Eubacterium","Facklamia","Faecalibacterium","Filifactor","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavobacteriales_unclassified","Flavobacterium","Flavonifractor","Fusobacteriaceae_unclassified","Fusobacteriales_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Gemella","Gemmobacter","Gordonibacter","Granulicatella","Haemophilus","Hallella","Helicobacter","Helicobacteraceae_unclassified","Holdemania","Howardella","Hydrogenophilus","Kingella","Klebsiella","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Leptospira","Leptotrichia","Limnohabitans","Megamonas","Megasphaera","Meiothermus","Methylobacterium","Methylococcaceae_unclassified","Methylocystis","Mitsuokella","Moraxella","Moraxellaceae_unclassified","Mucispirillum","Mycoplasma","Neisseria","Neisseriaceae_unclassified","Odoribacter","Omnitrophica_unclassified","Oscillibacter","Oxalobacter","Oxalobacteraceae_unclassified","Paludibacter","Parabacteroides","Paraprevotella","Parascardovia","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Pediococcus","Pedobacter","Peptococcus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Phenylobacterium","Plesiomonas","Polynucleobacter","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Proteus","Providencia","Pseudoflavonifractor","Pseudomonadaceae_unclassified","Pseudomonas","Pseudoxanthomonas","Psychrobacter","Pyramidobacter","Rhizobiales_unclassified","Rhodobacteraceae_unclassified","Roseburia","Rothia","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Salmonella","Selenomonadales_unclassified","Selenomonas","Serratia","Shuttleworthia","Slackia","Solobacterium","Sphingobacteriaceae_unclassified","Sphingobacterium","Sphingobium","Sphingomonadaceae_unclassified","Sphingomonadales_unclassified","Spirochaetaceae_unclassified","Spirochaetales_unclassified","SR1_unclassified","Staphylococcus","Streptococcaceae_unclassified","Streptococcus","Sutterella","Symbiobacterium","Synergistaceae_unclassified","Syntrophobacteraceae_unclassified","Thauera","Thermodesulfovibrio","Thermolithobacter","Thermotoga","Thiofaba","Treponema","Trichococcus","Turicibacter","Varibaculum","Veillonella","Veillonellaceae_unclassified","Vibrio","Weissella"
"C01",0,1,3,0,0,0,3,3,0,3,18,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,1,71,12,1072,2,0,5,0,92,7,506,0,0,2,0,16,0,0,0,0,2,6,0,3,0,0,0,1,0,0,1,7,0,69,0,2,18,0,60,3,0,13,0,0,0,0,0,0,1,0,0,0,2,1,0,0,5,75,2,12,0,0,4,0,15,0,0,52,13,0,0,0,267,0,0,18,0,0,0,54,2,0,24,1,7,0,0,0,3,0,0,0,4,0,1,0,9,495,0,4,8,0,0,1,0,6,5,0,1,0,0,6,0,0,0,0,6,1,24,1,32,0,0,0,115,2,0,1,16,0,0,0,0,0,0,18,48,0,0,0,15,7,46,1,0,1,0,0,0,0,1,0,0,1,1,0,12,6,187,5,0,0,3,0,1,0,0,0,0,0,1,0,0,2,0,0,0,12,40,6,2,0,0,0,1,0,2,0,0,0,0,0,2,4,0,21
"C03",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,129,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,3,0,32,0,11,48,0,2,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,63,0,7,0,0,0,254,0,0,0,4,0,1,117,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
"C05",0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,352,0,0,0,0,126,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,15,0,12,6,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,6,0,0,0,756,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,2,1072,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,23,64,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C07",0,0,0,0,0,0,4,0,0,0,16,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,381,0,0,0,0,172,4,66,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,12,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,0,1,0,0,0,0,0,0,0,16,0,1,5,0,418,1,0,0,0,0,0,15,1,0,89,0,14,0,0,2,1,0,0,0,0,0,0,0,1,297,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,36,1,1,0,3,0,0,0,0,0,0,42,16,0,0,0,0,416,163,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,7,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"C09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,645,4,0,0,0,50,0,343,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85,0,2,0,0,0,0,0,0,0,0,2,1,0,0,271,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,491,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,180,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,720,0,0,0,0,96,2,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,233,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,8,7,6,0,0,250,0,0,19,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,8,0,0,0,64,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C13",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,39,128,11,3,0,0,6,1,140,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,18,0,108,7,1,61,0,1,0,1,24,0,0,0,49,0,0,0,0,0,0,0,0,29,0,26,8,0,0,0,0,0,0,0,0,0,5,5,0,0,0,59,0,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,421,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,343,13,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
"C15",0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14,327,7,3,0,0,300,2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,34,0,0,0,0,71,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,17,0,0,0,0,586,0,0,3,0,0,0,3,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,44,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"C17",0,0,0,0,0,2,0,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,17,263,0,0,1,0,0,0,47,0,0,0,0,20,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,19,1,0,21,0,5,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,1,0,0,0,0,43,0,0,0,0,233,0,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,486,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,15,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,6,685,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57,39,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,11
"C19",0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,331,0,0,0,0,9,3,170,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,16,0,0,32,0,17,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,56,0,3,0,0,0,0,0,2,0,6,2,0,0,0,173,0,0,2,0,0,0,2,0,0,86,0,11,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,56,0,0,0,1,0,0,0,0,0,0,10,27,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
