sens,spec,type,roc_type,study
1,0,actual_mod,best,burns
0.9,0,actual_mod,best,burns
0.5,0.75,actual_mod,best,burns
0.4,0.75,actual_mod,best,burns
0.3,0.75,actual_mod,best,burns
0.3,0.833333333333333,actual_mod,best,burns
0.2,0.833333333333333,actual_mod,best,burns
0.2,0.916666666666667,actual_mod,best,burns
0.1,0.916666666666667,actual_mod,best,burns
0,0.916666666666667,actual_mod,best,burns
0,1,actual_mod,best,burns
1,0,actual_mod,worst,burns
1,0.666666666666667,actual_mod,worst,burns
1,0.75,actual_mod,worst,burns
1,0.833333333333333,actual_mod,worst,burns
0.9,0.833333333333333,actual_mod,worst,burns
0.8,0.833333333333333,actual_mod,worst,burns
0.8,0.916666666666667,actual_mod,worst,burns
0.7,0.916666666666667,actual_mod,worst,burns
0.6,0.916666666666667,actual_mod,worst,burns
0.5,0.916666666666667,actual_mod,worst,burns
0,1,actual_mod,worst,burns
1,0,random_mod,best,burns
1,0.0833333333333333,random_mod,best,burns
1,0.166666666666667,random_mod,best,burns
1,0.25,random_mod,best,burns
1,0.333333333333333,random_mod,best,burns
1,0.416666666666667,random_mod,best,burns
0.9,0.416666666666667,random_mod,best,burns
0.5,0.666666666666667,random_mod,best,burns
0,0.916666666666667,random_mod,best,burns
0,1,random_mod,best,burns
1,0,random_mod,worst,burns
0.7,0.333333333333333,random_mod,worst,burns
0.6,0.333333333333333,random_mod,worst,burns
0.6,0.416666666666667,random_mod,worst,burns
0.6,0.5,random_mod,worst,burns
0.5,0.5,random_mod,worst,burns
0.5,0.583333333333333,random_mod,worst,burns
0.5,0.666666666666667,random_mod,worst,burns
0.4,0.666666666666667,random_mod,worst,burns
0.4,0.75,random_mod,worst,burns
0,1,random_mod,worst,burns
1,0,actual_mod,best,chen
0.888888888888889,0,actual_mod,best,chen
0.888888888888889,0.111111111111111,actual_mod,best,chen
0.888888888888889,0.222222222222222,actual_mod,best,chen
0.777777777777778,0.222222222222222,actual_mod,best,chen
0.666666666666667,0.222222222222222,actual_mod,best,chen
0.555555555555556,0.222222222222222,actual_mod,best,chen
0.555555555555556,0.333333333333333,actual_mod,best,chen
0.555555555555556,0.555555555555556,actual_mod,best,chen
0.555555555555556,0.666666666666667,actual_mod,best,chen
0.555555555555556,0.777777777777778,actual_mod,best,chen
0.444444444444444,0.777777777777778,actual_mod,best,chen
0.333333333333333,0.777777777777778,actual_mod,best,chen
0.222222222222222,0.777777777777778,actual_mod,best,chen
0.111111111111111,0.777777777777778,actual_mod,best,chen
0.111111111111111,0.888888888888889,actual_mod,best,chen
0.111111111111111,1,actual_mod,best,chen
0,1,actual_mod,best,chen
1,0,actual_mod,worst,chen
1,0.111111111111111,actual_mod,worst,chen
1,0.444444444444444,actual_mod,worst,chen
1,0.555555555555556,actual_mod,worst,chen
1,0.666666666666667,actual_mod,worst,chen
1,0.777777777777778,actual_mod,worst,chen
0.888888888888889,0.777777777777778,actual_mod,worst,chen
0.888888888888889,0.888888888888889,actual_mod,worst,chen
0.777777777777778,0.888888888888889,actual_mod,worst,chen
0.666666666666667,0.888888888888889,actual_mod,worst,chen
0.555555555555556,0.888888888888889,actual_mod,worst,chen
0.555555555555556,1,actual_mod,worst,chen
0.444444444444444,1,actual_mod,worst,chen
0.333333333333333,1,actual_mod,worst,chen
0.222222222222222,1,actual_mod,worst,chen
0.111111111111111,1,actual_mod,worst,chen
0,1,actual_mod,worst,chen
1,0,random_mod,best,chen
0.888888888888889,0,random_mod,best,chen
0.888888888888889,0.111111111111111,random_mod,best,chen
0.777777777777778,0.222222222222222,random_mod,best,chen
0.777777777777778,0.333333333333333,random_mod,best,chen
0.666666666666667,0.333333333333333,random_mod,best,chen
