"fstat","r2","pvalue","study","crc_n","not_crc_n"
3.46907677971249,0.0335276672768446,1e-04,"wang",46,56
1.07383921480334,0.106596818939233,0.3431,"weir",7,4
2.18412959310118,0.0103915057589242,0.0033,"ahn",62,148
2.54237004885848,0.0277726046146888,3e-04,"zeller",41,50
2.05414543289887,0.00703344042541871,0.0024,"baxter",120,172
0.973314349564556,0.00199052651954896,0.7163,"hale",17,473
1.26897229715974,0.0160084363450894,0.046,"flemer",43,37
