taxa,auc,study
Porphyromonas,0.5,wang
Peptostreptococcus,0.5,wang
Parvimonas,0.5,wang
Fusobacterium,0.5593944099378882,wang
Escherichia,0.6583850931677018,wang
Enterobacteriaceae_unclassified,0.5,wang
Ruminococcus,0.4604037267080746,wang
Clostridium_XI,0.4802018633540373,wang
Porphyromonas,0.5,weir
Peptostreptococcus,0.5,weir
Parvimonas,0.5,weir
Fusobacterium,0.5,weir
Escherichia,0.5,weir
Enterobacteriaceae_unclassified,0.5,weir
Ruminococcus,0.14285714285714285,weir
Clostridium_XI,0.3392857142857143,weir
Porphyromonas,0.5,ahn
Peptostreptococcus,0.5,ahn
Parvimonas,0.5,ahn
Fusobacterium,0.5,ahn
Escherichia,0.5881647776809067,ahn
Enterobacteriaceae_unclassified,0.5,ahn
Ruminococcus,0.41989973844812556,ahn
Clostridium_XI,0.4313426329555362,ahn
Porphyromonas,0.5,zeller
Peptostreptococcus,0.6614634146341463,zeller
Parvimonas,0.6170731707317073,zeller
Fusobacterium,0.7224390243902441,zeller
Escherichia,0.6392682926829267,zeller
Enterobacteriaceae_unclassified,0.5726829268292684,zeller
Ruminococcus,0.3729268292682927,zeller
Clostridium_XI,0.39512195121951216,zeller
Porphyromonas,0.5,baxter
Peptostreptococcus,0.5,baxter
Parvimonas,0.5,baxter
Fusobacterium,0.5,baxter
Escherichia,0.5565891472868217,baxter
Enterobacteriaceae_unclassified,0.5678294573643411,baxter
Ruminococcus,0.4646317829457365,baxter
Clostridium_XI,0.4717054263565892,baxter
Porphyromonas,0.5,hale
Peptostreptococcus,0.5,hale
Parvimonas,0.5,hale
Fusobacterium,0.5,hale
Escherichia,0.5,hale
Enterobacteriaceae_unclassified,0.5,hale
Ruminococcus,0.48476557642084317,hale
Clostridium_XI,0.39335903494590224,hale
Porphyromonas,0.5,flemer
Peptostreptococcus,0.5,flemer
Parvimonas,0.5,flemer
Fusobacterium,0.5,flemer
Escherichia,0.6131363922061596,flemer
Enterobacteriaceae_unclassified,0.5628535512256443,flemer
Ruminococcus,0.46228786926461346,flemer
Clostridium_XI,0.43714644877435577,flemer
