"study_power","pwr80_needed_n","effect_size","study"
0.0501374901752582,39239.0695541293,0.01,"brim"
0.0534552262799631,1564.52900856952,0.05,"brim"
0.0640472605717178,387.167746154315,0.1,"brim"
0.0824687943620484,169.087942473337,0.15,"brim"
0.109924653863768,92.6960802372139,0.2,"brim"
0.148228568896689,57.2584202864442,0.25,"brim"
0.200001432233898,37.9086228302952,0.3,"brim"
0.0509942897366062,38480.0304501102,0.01,"zeller"
0.0749672560367906,1552.90620830661,0.05,"zeller"
0.152290132836378,390.163855150638,0.1,"zeller"
0.284296235409515,173.104967340699,0.15,"zeller"
0.46008226766831,96.5304743367702,0.2,"zeller"
0.649290737958868,60.7876920315959,0.25,"zeller"
0.812475576288497,41.1821487783765,0.3,"zeller"
0.0542558164017913,38990.1054699207,0.01,"baxter"
0.162035608753678,1545.69888918718,0.05,"baxter"
0.496422018113665,379.636076039613,0.1,"baxter"
0.842379811852761,164.436848147592,0.15,"baxter"
0.980418295526401,89.3000328733458,0.2,"baxter"
0.999281801915671,54.536427105679,0.25,"baxter"
0.999994896576134,35.5779098272808,0.3,"baxter"
0.0578387788746648,33956.5656245167,0.01,"hale"
0.250519891793422,1400.13620758803,0.05,"hale"
0.716446920554182,360.689935179634,0.1,"hale"
0.963800055825491,163.898247765506,0.15,"hale"
0.998699681556003,93.5852187845417,0.2,"hale"
0.999988262264296,60.3840005359591,0.25,"hale"
0.999999976456467,41.987519441836,0.3,"hale"
0.0504583904110968,39239.0695541293,0.01,"lu"
0.0615715185102245,1564.52900856952,0.05,"lu"
0.0975880736649599,387.167746154315,0.1,"lu"
0.161248583570063,169.087942473337,0.15,"lu"
0.255620110931849,92.6960802372139,0.2,"lu"
0.380637791081803,57.2584202864442,0.25,"lu"
0.529911159995785,37.9086228302952,0.3,"lu"
0.0515863478497464,30886.1798538804,0.01,"flemer_t"
0.0887653924716039,1288.81778056252,0.05,"flemer_t"
0.203480821450918,336.354063995306,0.1,"flemer_t"
0.383174404196558,154.618736184144,0.15,"flemer_t"
0.590320808408438,89.2354348589117,0.2,"flemer_t"
0.7734966051555,58.1688043569266,0.25,"flemer_t"
0.898666629381312,40.8582622826557,0.3,"flemer_t"
