"otu","mda_median","iqr25","iqr75","study","rank"
"Fusobacterium",2.05614829758048,2.05614829758048,2.05614829758048,"zeller","1"
"Peptostreptococcus",1.80470127101056,1.80470127101056,1.80470127101056,"zeller","2"
"Parvimonas",1.13736643524196,1.13736643524196,1.13736643524196,"zeller","3"
"Planococcaceae_unclassified",1.09908529001882,1.09908529001882,1.09908529001882,"zeller","4"
"Methylobacterium",0.985570904787756,0.985570904787756,0.985570904787756,"zeller","5"
"Comamonas",0.936145349935212,0.936145349935212,0.936145349935212,"zeller","6"
"Lachnospira",0.861874889291914,0.861874889291914,0.861874889291914,"zeller","7"
"Anaerostipes",0.824199066581446,0.824199066581446,0.824199066581446,"zeller","8"
"Bilophila",0.799378950442424,0.799378950442424,0.799378950442424,"zeller","9"
"Ruminococcus",0.785046472928512,0.785046472928512,0.785046472928512,"zeller","10"
"Acinetobacter",0.77108502590549,0.77108502590549,0.77108502590549,"zeller","11"
"Dorea",0.615036740575214,0.615036740575214,0.615036740575214,"zeller","12"
"Gammaproteobacteria_unclassified",0.601251317874555,0.601251317874555,0.601251317874555,"zeller","13"
"Coprococcus",0.590406870576455,0.590406870576455,0.590406870576455,"zeller","14"
"Bacteroidales_unclassified",0.562602677097033,0.562602677097033,0.562602677097033,"zeller","15"
"Flavonifractor",0.548301661768442,0.548301661768442,0.548301661768442,"zeller","16"
"Rhodobacteraceae_unclassified",0.52960523284603,0.52960523284603,0.52960523284603,"zeller","17"
"Oscillibacter",0.481072173031733,0.481072173031733,0.481072173031733,"zeller","18"
"Streptococcus",0.467338377315844,0.467338377315844,0.467338377315844,"zeller","19"
"Blautia",0.456936429795385,0.456936429795385,0.456936429795385,"zeller","20"
"Cloacibacterium",0.449128253983052,0.449128253983052,0.449128253983052,"zeller","21"
"Enterobacteriaceae_unclassified",0.425830225559428,0.425830225559428,0.425830225559428,"zeller","22"
"Odoribacter",0.425807361367801,0.425807361367801,0.425807361367801,"zeller","23"
"Bifidobacterium",0.42476685031184,0.42476685031184,0.42476685031184,"zeller","24"
"Sphingomonas",0.421182558047502,0.421182558047502,0.421182558047502,"zeller","25"
"Clostridium_XlVb",0.419007418318901,0.419007418318901,0.419007418318901,"zeller","26"
"Escherichia.Shigella",0.404181918458131,0.404181918458131,0.404181918458131,"zeller","27"
"Porphyromonas",0.404060325791287,0.404060325791287,0.404060325791287,"zeller","28"
"Oxalobacteraceae_unclassified",0.402218592966023,0.402218592966023,0.402218592966023,"zeller","29"
"Parabacteroides",0.396469815328522,0.396469815328522,0.396469815328522,"zeller","30"
"Sphingomonadaceae_unclassified",0.379483967760119,0.379483967760119,0.379483967760119,"zeller","31"
"Bacilli_unclassified",0.379202545683577,0.379202545683577,0.379202545683577,"zeller","32"
"Ruminococcus2",0.364043620212426,0.364043620212426,0.364043620212426,"zeller","33"
"Paracoccus",0.337132562743389,0.337132562743389,0.337132562743389,"zeller","34"
"Butyricimonas",0.336330943931384,0.336330943931384,0.336330943931384,"zeller","35"
"Alistipes",0.333738133146668,0.333738133146668,0.333738133146668,"zeller","36"
"Eubacteriaceae_unclassified",0.330963912329363,0.330963912329363,0.330963912329363,"zeller","37"
"Holdemania",0.322622028287644,0.322622028287644,0.322622028287644,"zeller","38"
"Erysipelotrichaceae_unclassified",0.321766669501943,0.321766669501943,0.321766669501943,"zeller","39"
"Cloacibacillus",0.321338149795088,0.321338149795088,0.321338149795088,"zeller","40"
"Peptococcus",0.319824681354441,0.319824681354441,0.319824681354441,"zeller","41"
"Eubacterium",0.319268342540691,0.319268342540691,0.319268342540691,"zeller","42"
"Desulfovibrio",0.318550595324029,0.318550595324029,0.318550595324029,"zeller","43"
"Parasutterella",0.313983500959156,0.313983500959156,0.313983500959156,"zeller","44"
"Clostridiales_unclassified",0.309191968062444,0.309191968062444,0.309191968062444,"zeller","45"
"Alphaproteobacteria_unclassified",0.300173588430883,0.300173588430883,0.300173588430883,"zeller","46"
"Veillonellaceae_unclassified",0.299386350349969,0.299386350349969,0.299386350349969,"zeller","47"
"Subdoligranulum",0.292596399274776,0.292596399274776,0.292596399274776,"zeller","48"
"Roseburia",0.292543019516871,0.292543019516871,0.292543019516871,"zeller","49"
"Prevotellaceae_unclassified",0.288177482953651,0.288177482953651,0.288177482953651,"zeller","50"
"Veillonella",0.286178996456658,0.286178996456658,0.286178996456658,"zeller","51"
"Megasphaera",0.282258453592219,0.282258453592219,0.282258453592219,"zeller","52"
"Clostridium_XI",0.280767814370542,0.280767814370542,0.280767814370542,"zeller","53"
"Leuconostoc",0.280253521797348,0.280253521797348,0.280253521797348,"zeller","54"
"Lactobacillus",0.27787162363776,0.27787162363776,0.27787162363776,"zeller","55"
"Bacteroidetes_unclassified",0.277258990041047,0.277258990041047,0.277258990041047,"zeller","56"
"Akkermansia",0.27573004103319,0.27573004103319,0.27573004103319,"zeller","57"
"Clostridium_XlVa",0.26737686052946,0.26737686052946,0.26737686052946,"zeller","58"
"Novosphingobium",0.266101679782364,0.266101679782364,0.266101679782364,"zeller","59"
"Acidaminococcus",0.26487194799724,0.26487194799724,0.26487194799724,"zeller","60"
"Barnesiella",0.26263766290973,0.26263766290973,0.26263766290973,"zeller","61"
"Anaerotruncus",0.262133142701001,0.262133142701001,0.262133142701001,"zeller","62"
"Clostridium_sensu_stricto",0.261912058229195,0.261912058229195,0.261912058229195,"zeller","63"
"Clostridium_XVIII",0.257658236994976,0.257658236994976,0.257658236994976,"zeller","64"
"Dialister",0.257451434067899,0.257451434067899,0.257451434067899,"zeller","65"
"Howardella",0.255957103461392,0.255957103461392,0.255957103461392,"zeller","66"
"Selenomonadales_unclassified",0.251197506496444,0.251197506496444,0.251197506496444,"zeller","67"
"Caulobacteraceae_unclassified",0.250961183715822,0.250961183715822,0.250961183715822,"zeller","68"
"Desulfovibrionales_unclassified",0.237753865010468,0.237753865010468,0.237753865010468,"zeller","69"
"Butyricicoccus",0.236681332689557,0.236681332689557,0.236681332689557,"zeller","70"
"Bacteroides",0.236536436259557,0.236536436259557,0.236536436259557,"zeller","71"
"Sporobacter",0.232739582366553,0.232739582366553,0.232739582366553,"zeller","72"
