genus,occurance
Ruminococcaceae,4
Roseburia,3
Anaerostipes,2
Bacteroides,2
Blautia,2
Lachnospiraceae,2
Odoribacter,2
Ruminococcus,2
Alistipes,1
Clostridia,1
Clostridiales,1
Clostridium_XlVa,1
Clostridium_XlVb,1
Escherichia/Shigella,1
Faecalibacterium,1
Firmicutes,1
Gemmiger,1
Parabacteroides,1
Paraprevotella,1
Sphingomonas,1
Streptococcus,1
Sutterella,1
