otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu00001,0.4799725322579038,0.42458357408845016,0.5184615033573239,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00021,0.24394514833291914,0.2188616752700344,0.28255078314788057,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00014,0.2399411089254742,0.20955528064986265,0.27121128224630553,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00079,0.21339197366101392,0.18507212458164465,0.23603352809900796,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00034,0.14339805091709118,0.1230625441294172,0.1630164562518665,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae,burns
Otu00215,0.13919980096442947,0.12295029501372383,0.1624937059371657,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00002,0.12986477944140482,0.10905128986510568,0.152741457871334,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00101,0.12208179594743061,0.1018260463435773,0.14696934786060173,Proteobacteria,Burkholderiaceae,Burkholderiaceae,burns
Otu00024,0.11707354396549441,0.0906503070974433,0.13463235312589023,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00003,0.10494779761002673,0.08847870559523037,0.12053191221832862,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00036,0.0940130345402791,0.0766768926163276,0.10896542321627459,Bacteria,Bacteria,Bacteria,burns
Otu00008,0.09212294020049439,0.08039819352903718,0.11247864948089403,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00027,0.09185902771119489,0.07575900392607048,0.10931268224379678,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00048,0.09147658893394187,0.0683594311132624,0.11294784428677619,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00379,0.08624535205077,0.07352467357204198,0.09893700157771365,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00119,0.08546249053663914,0.07151822368807664,0.09933756953830485,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00579,0.08536164463331646,0.06831593916918993,0.1014985774287632,Firmicutes,Lactobacillaceae,Lactobacillaceae,burns
Otu00026,0.08397716664140813,0.07030447681403564,0.10586769877009815,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00006,0.08393584456479193,0.06807714259424787,0.10583553929300835,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00055,0.07922308785126123,0.06557870025571265,0.09223595452535081,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00031,0.0762615111840344,0.058444686522627694,0.09014064512199188,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu04963,0.07469544234575193,0.06369102675360416,0.09329002333665648,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00016,0.07347067070356544,0.05888930752769761,0.08298221215059451,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00444,0.07307187386057357,0.05825787317257906,0.08751193812207742,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00150,0.07289013970205921,0.057882242520980905,0.08841729590069371,Firmicutes,Lactobacillaceae,Lactobacillaceae,burns
Otu08696,0.07219583869862507,0.05935234434468181,0.08527532799587755,Firmicutes,Veillonellaceae,Veillonellaceae,burns
Otu01428,0.06966665542919412,0.05921415735537251,0.08315972277206796,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00098,0.06908170751676945,0.05706179114573077,0.08649181855296408,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,burns
Otu00060,0.06605090056142687,0.048706240311116464,0.08136598067395281,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00102,0.06320257776279448,0.05071989509458549,0.08264443793220883,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00230,0.06020935911353867,0.0493826424521471,0.07445589152849215,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00005,0.05963490086624762,0.05165023184589749,0.07500098950756845,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00011,0.05645956709269402,0.04786600752618553,0.06732465263065109,Proteobacteria,Burkholderiaceae,Burkholderiaceae,burns
Otu00044,0.054682109436830786,0.040394918445847236,0.06706435095692061,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00019,0.05317486222927399,0.043393347046830025,0.06331074194123731,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00007,0.05261426534421891,0.04286089208349271,0.06056917101216637,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00203,0.0525570193652237,0.042127226110662636,0.06256281159500975,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae,burns
Otu00280,0.05140094008159023,0.03628572122322122,0.06330362627138944,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00351,0.05051813434243775,0.03524977322299304,0.06197698798879139,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae,burns
Otu01955,0.04875065067371569,0.037074127721263936,0.05943322039157953,Bacteroidetes,Chitinophagaceae,Chitinophagaceae,burns
Otu03928,0.0451338639688485,0.03422741008991009,0.05406810580200673,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00122,0.04482561983939694,0.03499018408062526,0.05232188865056511,Proteobacteria,Burkholderiaceae,Burkholderiaceae,burns
Otu01080,0.044390018615715204,0.031081146802973428,0.05838004565094347,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00133,0.04361155102207734,0.03139173981762991,0.05372548357645108,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu08703,0.043610625047467155,0.03595131876637294,0.05414448373693728,Actinobacteria,Coriobacteriaceae,Coriobacteriaceae,burns
Otu00599,0.043380695285107046,0.03321505539524115,0.05444195007349033,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,burns
Otu01216,0.043308559483172485,0.030508510276273437,0.05140447662502616,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00146,0.042529907674025313,0.0312946709078675,0.05048618708862518,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu06303,0.04201339375279004,0.030841741772159724,0.051150120313123396,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00344,0.0419475827406168,0.03169180538244005,0.04781647071968279,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00115,0.04182210704672004,0.03209644304783624,0.05349911714962024,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
