"fstat","r2","pvalue","study","crc_n","not_crc_n"
1.74807887632717,0.0247084995676411,0.0069,"sana",33,38
1.07087395666568,0.0508224746096452,0.0995,"burns",10,12
6.92826660280448,0.028997266423575,1e-04,"flemer",94,140
1.09971548127881,0.0643119169136354,0.2691,"chen",9,9
