"sens","spec","auc","study"
0.0967741935483871,0.878378378378378,0.551819965126417,"ahn"
0.0967741935483871,0.885135135135135,0.551819965126417,"ahn"
0.0967741935483871,0.898648648648649,0.551819965126417,"ahn"
0.0806451612903226,0.918918918918919,0.551819965126417,"ahn"
0.0806451612903226,0.925675675675676,0.551819965126417,"ahn"
0.0806451612903226,0.932432432432432,0.551819965126417,"ahn"
0.0806451612903226,0.939189189189189,0.551819965126417,"ahn"
0.0645161290322581,0.945945945945946,0.551819965126417,"ahn"
0.0483870967741935,0.959459459459459,0.551819965126417,"ahn"
0.032258064516129,0.966216216216216,0.551819965126417,"ahn"
0.032258064516129,0.972972972972973,0.551819965126417,"ahn"
0.0161290322580645,0.972972972972973,0.551819965126417,"ahn"
0.0161290322580645,0.97972972972973,0.551819965126417,"ahn"
0.0161290322580645,0.986486486486487,0.551819965126417,"ahn"
0.0161290322580645,0.993243243243243,0.551819965126417,"ahn"
0.0161290322580645,1,0.551819965126417,"ahn"
0,1,0.551819965126417,"ahn"
1,0,0.576585365853658,"zeller"
0.975609756097561,0,0.576585365853658,"zeller"
0.951219512195122,0,0.576585365853658,"zeller"
0.951219512195122,0.02,0.576585365853658,"zeller"
0.951219512195122,0.04,0.576585365853658,"zeller"
0.926829268292683,0.04,0.576585365853658,"zeller"
0.902439024390244,0.06,0.576585365853658,"zeller"
0.853658536585366,0.08,0.576585365853658,"zeller"
0.853658536585366,0.1,0.576585365853658,"zeller"
0.829268292682927,0.12,0.576585365853658,"zeller"
0.829268292682927,0.14,0.576585365853658,"zeller"
0.804878048780488,0.14,0.576585365853658,"zeller"
0.780487804878049,0.16,0.576585365853658,"zeller"
0.780487804878049,0.18,0.576585365853658,"zeller"
0.780487804878049,0.22,0.576585365853658,"zeller"
0.780487804878049,0.24,0.576585365853658,"zeller"
0.75609756097561,0.24,0.576585365853658,"zeller"
0.75609756097561,0.28,0.576585365853658,"zeller"
0.75609756097561,0.34,0.576585365853658,"zeller"
0.731707317073171,0.34,0.576585365853658,"zeller"
0.707317073170732,0.36,0.576585365853658,"zeller"
0.682926829268293,0.38,0.576585365853658,"zeller"
0.682926829268293,0.4,0.576585365853658,"zeller"
0.658536585365854,0.42,0.576585365853658,"zeller"
0.658536585365854,0.46,0.576585365853658,"zeller"
0.634146341463415,0.46,0.576585365853658,"zeller"
0.634146341463415,0.48,0.576585365853658,"zeller"
0.609756097560976,0.5,0.576585365853658,"zeller"
0.585365853658537,0.5,0.576585365853658,"zeller"
0.585365853658537,0.52,0.576585365853658,"zeller"
0.585365853658537,0.56,0.576585365853658,"zeller"
0.560975609756098,0.56,0.576585365853658,"zeller"
0.51219512195122,0.58,0.576585365853658,"zeller"
0.51219512195122,0.6,0.576585365853658,"zeller"
0.51219512195122,0.64,0.576585365853658,"zeller"
0.48780487804878,0.64,0.576585365853658,"zeller"
0.463414634146341,0.66,0.576585365853658,"zeller"
0.439024390243902,0.68,0.576585365853658,"zeller"
0.439024390243902,0.7,0.576585365853658,"zeller"
0.390243902439024,0.7,0.576585365853658,"zeller"
0.390243902439024,0.72,0.576585365853658,"zeller"
0.365853658536585,0.72,0.576585365853658,"zeller"
0.365853658536585,0.74,0.576585365853658,"zeller"
0.365853658536585,0.76,0.576585365853658,"zeller"
0.341463414634146,0.76,0.576585365853658,"zeller"
0.341463414634146,0.78,0.576585365853658,"zeller"
0.341463414634146,0.8,0.576585365853658,"zeller"
0.317073170731707,0.82,0.576585365853658,"zeller"
0.292682926829268,0.84,0.576585365853658,"zeller"
0.292682926829268,0.86,0.576585365853658,"zeller"
0.292682926829268,0.88,0.576585365853658,"zeller"
0.292682926829268,0.9,0.576585365853658,"zeller"
0.292682926829268,0.92,0.576585365853658,"zeller"
0.268292682926829,0.94,0.576585365853658,"zeller"
0.24390243902439,0.94,0.576585365853658,"zeller"
0.219512195121951,0.94,0.576585365853658,"zeller"
0.195121951219512,0.94,0.576585365853658,"zeller"
0.195121951219512,0.96,0.576585365853658,"zeller"
0.146341463414634,0.96,0.576585365853658,"zeller"
0.146341463414634,0.98,0.576585365853658,"zeller"
0.146341463414634,1,0.576585365853658,"zeller"
0.121951219512195,1,0.576585365853658,"zeller"
0.0975609756097561,1,0.576585365853658,"zeller"
0.0731707317073171,1,0.576585365853658,"zeller"
0.0487804878048781,1,0.576585365853658,"zeller"
0.024390243902439,1,0.576585365853658,"zeller"
0,1,0.576585365853658,"zeller"
1,0,0.543507751937985,"baxter"
0.991666666666667,0,0.543507751937985,"baxter"
0.983333333333333,0,0.543507751937985,"baxter"
0.983333333333333,0.00581395348837209,0.543507751937985,"baxter"
0.975,0.00581395348837209,0.543507751937985,"baxter"
0.975,0.0116279069767442,0.543507751937985,"baxter"
0.975,0.0232558139534884,0.543507751937985,"baxter"
0.966666666666667,0.0290697674418605,0.543507751937985,"baxter"
0.958333333333333,0.0406976744186047,0.543507751937985,"baxter"
0.958333333333333,0.0465116279069767,0.543507751937985,"baxter"
0.958333333333333,0.0523255813953488,0.543507751937985,"baxter"
0.95,0.0581395348837209,0.543507751937985,"baxter"
0.941666666666667,0.0581395348837209,0.543507751937985,"baxter"
0.933333333333333,0.0697674418604651,0.543507751937985,"baxter"
0.925,0.0813953488372093,0.543507751937985,"baxter"
0.908333333333333,0.0872093023255814,0.543507751937985,"baxter"
0.9,0.11046511627907,0.543507751937985,"baxter"
0.883333333333333,0.116279069767442,0.543507751937985,"baxter"
0.875,0.122093023255814,0.543507751937985,"baxter"
0.858333333333333,0.127906976744186,0.543507751937985,"baxter"
0.841666666666667,0.151162790697674,0.543507751937985,"baxter"
0.841666666666667,0.180232558139535,0.543507751937985,"baxter"
0.833333333333333,0.180232558139535,0.543507751937985,"baxter"
0.825,0.197674418604651,0.543507751937985,"baxter"
0.816666666666667,0.226744186046512,0.543507751937985,"baxter"
0.808333333333333,0.25,0.543507751937985,"baxter"
0.808333333333333,0.255813953488372,0.543507751937985,"baxter"
0.783333333333333,0.267441860465116,0.543507751937985,"baxter"
0.766666666666667,0.267441860465116,0.543507751937985,"baxter"
0.733333333333333,0.290697674418605,0.543507751937985,"baxter"
0.716666666666667,0.302325581395349,0.543507751937985,"baxter"
0.7,0.343023255813953,0.543507751937985,"baxter"
0.675,0.383720930232558,0.543507751937985,"baxter"
0.658333333333333,0.401162790697674,0.543507751937985,"baxter"
0.65,0.424418604651163,0.543507751937985,"baxter"
0.625,0.430232558139535,0.543507751937985,"baxter"
0.608333333333333,0.453488372093023,0.543507751937985,"baxter"
0.591666666666667,0.476744186046512,0.543507751937985,"baxter"
0.575,0.482558139534884,0.543507751937985,"baxter"
0.575,0.5,0.543507751937985,"baxter"
0.558333333333333,0.505813953488372,0.543507751937985,"baxter"
0.55,0.511627906976744,0.543507751937985,"baxter"
0.55,0.523255813953488,0.543507751937985,"baxter"
0.541666666666667,0.529069767441861,0.543507751937985,"baxter"
0.525,0.534883720930233,0.543507751937985,"baxter"
0.525,0.540697674418605,0.543507751937985,"baxter"
0.508333333333333,0.552325581395349,0.543507751937985,"baxter"
0.466666666666667,0.569767441860465,0.543507751937985,"baxter"
0.458333333333333,0.581395348837209,0.543507751937985,"baxter"
