otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu00216,0.014833333333333334,0.009933333333333332,0.021533333333333335,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00020,0.0148,0.008916666666666666,0.019366666666666667,Proteobacteria,Comamonadaceae,Comamonadaceae,burns
Otu00047,0.014766666666666668,0.008583333333333333,0.020383333333333333,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu01281,0.014333333333333332,0.008,0.019799999999999998,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00003,0.014166666666666666,0.008533333333333334,0.0199,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00132,0.014,0.008916666666666666,0.02008333333333333,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu05439,0.014,0.008583333333333332,0.021533333333333335,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae,burns
Otu00117,0.013833333333333335,0.008249999999999999,0.01771666666666667,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu02541,0.013333333333333332,0.008483333333333334,0.020333333333333332,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00616,0.013133333333333334,0.005816666666666667,0.017,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00390,0.012033333333333333,0.0081,0.019333333333333334,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00511,0.012,0.008483333333333332,0.020483333333333333,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00055,0.006,0.002666666666666667,0.010133333333333333,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00138,0.005866666666666667,0.002666666666666667,0.008666666666666668,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00570,0.005666666666666667,0.002666666666666667,0.008383333333333333,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00012,0.005566666666666668,0.002666666666666667,0.008666666666666666,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00120,0.005333333333333334,0.002666666666666667,0.00865,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00209,0.005333333333333334,0.002133333333333334,0.00875,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00065,0.005333333333333333,0,0.006,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00072,0.005333333333333333,0.002133333333333334,0.009049999999999999,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00007,0.004333333333333333,0.0016000000000000003,0.008416666666666666,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu01274,0.0032,0,0.008,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu09159,0.002133333333333334,0,0.003,Proteobacteria,Neisseriaceae,Neisseriaceae,burns
Otu29985,0.002133333333333334,0,0.00305,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu35610,0.002133333333333334,0,0.0038333333333333336,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu05913,0.001666666666666667,0,0.003333333333333334,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu02144,0.001066666666666667,0,0.003333333333333334,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu11242,8.999999999999999e-4,0,0.003,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00001,0,0,0.0032,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00002,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00004,0,0,0.00275,Verrucomicrobia,Verrucomicrobiaceae,Verrucomicrobiaceae,burns
Otu00005,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00006,0,0,0.0032,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00008,0,0,0.002666666666666667,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00009,0,0,0.00305,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00010,0,0,0.0032,Bacteroidetes,Rikenellaceae,Rikenellaceae,burns
Otu00011,0,0,0.003,Proteobacteria,Burkholderiaceae,Burkholderiaceae,burns
Otu00013,0,0,0.002133333333333334,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00014,0,0,0.00275,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00015,0,0,0.002666666666666667,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00017,0,0,0.0026666666666666666,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00019,0,0,0.0020166666666666666,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00023,0,0,0,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00024,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00025,0,0,0.00275,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00028,0,0,0.002133333333333334,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00030,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00031,0,0,0.00305,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00036,0,0,0.002266666666666667,Bacteria,Bacteria,Bacteria,burns
Otu00037,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00040,0,0,0.002133333333333334,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00041,0,0,0.003,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00044,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00046,0,0,0.002133333333333334,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00050,0,0,0,Bacteroidetes,Rikenellaceae,Rikenellaceae,burns
Otu00053,0,0,0,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00056,0,0,0.002133333333333334,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00062,0,0,0,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00063,0,0,0.00305,Bacteroidetes,Prevotellaceae,Prevotellaceae,burns
Otu00064,0,0,0,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00067,0,0,0.0026666666666666666,Firmicutes,Lactobacillaceae,Lactobacillaceae,burns
Otu00074,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00076,0,0,0,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00084,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00086,0,0,0,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00089,0,0,0.0032333333333333337,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00094,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00100,0,0,0.003,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00101,0,0,0.003,Proteobacteria,Burkholderiaceae,Burkholderiaceae,burns
Otu00103,0,0,0.002666666666666667,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00106,0,0,0.002666666666666667,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00108,0,0,0.003,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae,burns
Otu00109,0,0,0.003,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00112,0,0,0.003,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,burns
Otu00116,0,0,0.003,Firmicutes,Peptostreptococcaceae,Peptostreptococcaceae,burns
Otu00118,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00119,0,0,0.003,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00139,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00144,0,0,0.003,Firmicutes,Veillonellaceae,Veillonellaceae,burns
Otu00146,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00148,0,0,0.003,Firmicutes,Peptostreptococcaceae,Peptostreptococcaceae,burns
Otu00149,0,0,0.002133333333333334,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00150,0,0,0.00275,Firmicutes,Lactobacillaceae,Lactobacillaceae,burns
Otu00155,0,0,0.0026666666666666666,Bacteroidetes,Bacteroidales,Bacteroidales,burns
Otu00173,0,0,0.0026666666666666666,Verrucomicrobia,Verrucomicrobiaceae,Verrucomicrobiaceae,burns
Otu00185,0,0,0,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00191,0,0,0.00275,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00196,0,0,0.003,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00198,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00199,0,0,0.00275,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00200,0,0,0,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00206,0,0,0.003,Firmicutes,Lactobacillaceae,Lactobacillaceae,burns
Otu00218,0,0,0.00275,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00229,0,0,0.00305,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00230,0,0,0.003,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00234,0,0,0.002666666666666667,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00238,0,0,0.002666666666666667,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00250,0,0,0.002133333333333334,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,burns
Otu00251,0,0,0.003,Verrucomicrobia,Verrucomicrobiaceae,Verrucomicrobiaceae,burns
Otu00265,0,0,0.00305,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00272,0,0,0.00275,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00277,0,0,0.00275,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00303,0,0,0.003,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00313,0,0,0.0026666666666666666,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00317,0,0,0.0026666666666666666,Firmicutes,Lactobacillaceae,Lactobacillaceae,burns
Otu00318,0,0,0,Firmicutes,Firmicutes,Firmicutes,burns
Otu00337,0,0,0.003,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00338,0,0,0.003,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00341,0,0,0,Bacteroidetes,Bacteroidales,Bacteroidales,burns
Otu00342,0,0,0.003,Firmicutes,Ruminococcaceae,Ruminococcaceae,burns
Otu00343,0,0,0.0032,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00347,0,0,0.00275,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00350,0,0,0.003,Firmicutes,Streptococcaceae,Streptococcaceae,burns
Otu00355,0,0,0.003,Proteobacteria,Burkholderiaceae,Burkholderiaceae,burns
Otu00356,0,0,0.002666666666666667,Actinobacteria,Propionibacteriaceae,Propionibacteriaceae,burns
Otu00358,0,0,0.003,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00360,0,0,0.003,Firmicutes,Lachnospiraceae,Lachnospiraceae,burns
Otu00362,0,0,0.003,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
Otu00363,0,0,0.003,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,burns
Otu00373,0,0,0.003,Firmicutes,Lactobacillaceae,Lactobacillaceae,burns
Otu00389,0,0,0.002666666666666667,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,burns
Otu00403,0,0,0.0032,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,burns
