"otu","mda_median","iqr25","iqr75","study","rank"
"Holdemania",0.839468821967549,0.839468821967549,0.839468821967549,"baxter","76"
"Paraprevotella",0.837410983554638,0.837410983554638,0.837410983554638,"baxter","77"
"Acidaminococcaceae_unclassified",0.796354224872689,0.796354224872689,0.796354224872689,"baxter","78"
"Enterorhabdus",0.78673632216291,0.78673632216291,0.78673632216291,"baxter","79"
"Desulfovibrio",0.766476464903204,0.766476464903204,0.766476464903204,"baxter","80"
"Asaccharobacter",0.74386559352841,0.74386559352841,0.74386559352841,"baxter","81"
"Anaerofustis",0.733359371621354,0.733359371621354,0.733359371621354,"baxter","82"
"Weissella",0.716988530300726,0.716988530300726,0.716988530300726,"baxter","83"
"Pseudoflavonifractor",0.707536747600641,0.707536747600641,0.707536747600641,"baxter","84"
"Betaproteobacteria_unclassified",0.702297221055359,0.702297221055359,0.702297221055359,"baxter","85"
"Proteobacteria_unclassified",0.701359144599242,0.701359144599242,0.701359144599242,"baxter","86"
"Alloprevotella",0.655786818818687,0.655786818818687,0.655786818818687,"baxter","87"
"Actinobacteria_unclassified",0.643400963365121,0.643400963365121,0.643400963365121,"baxter","88"
"Corynebacterium",0.625956125183292,0.625956125183292,0.625956125183292,"baxter","89"
"Paenibacillus",0.5871907970601,0.5871907970601,0.5871907970601,"baxter","90"
"Anaerotruncus",0.562308643808356,0.562308643808356,0.562308643808356,"baxter","91"
"Bacteroidales_unclassified",0.522205680113842,0.522205680113842,0.522205680113842,"baxter","92"
"Lactonifactor",0.517326641735167,0.517326641735167,0.517326641735167,"baxter","93"
"Oxalobacteraceae_unclassified",0.508210292460602,0.508210292460602,0.508210292460602,"baxter","94"
"Veillonellaceae_unclassified",0.504739743156877,0.504739743156877,0.504739743156877,"baxter","95"
"Sporobacter",0.501050126785431,0.501050126785431,0.501050126785431,"baxter","96"
"Solobacterium",0.488556175106656,0.488556175106656,0.488556175106656,"baxter","97"
"Staphylococcus",0.478998011458941,0.478998011458941,0.478998011458941,"baxter","98"
"Alphaproteobacteria_unclassified",0.456691208330829,0.456691208330829,0.456691208330829,"baxter","99"
"Sutterella",0.439481712768603,0.439481712768603,0.439481712768603,"baxter","100"
"Olsenella",0.434757299689889,0.434757299689889,0.434757299689889,"baxter","101"
"Megasphaera",0.397410212277007,0.397410212277007,0.397410212277007,"baxter","102"
"Burkholderiales_unclassified",0.397352242289769,0.397352242289769,0.397352242289769,"baxter","103"
"Neisseria",0.353810796879581,0.353810796879581,0.353810796879581,"baxter","104"
"Atopobium",0.345499825880102,0.345499825880102,0.345499825880102,"baxter","105"
"Leuconostoc",0.341084911005705,0.341084911005705,0.341084911005705,"baxter","106"
"Anaerorhabdus",0.332182553312899,0.332182553312899,0.332182553312899,"baxter","107"
"Slackia",0.324685048885225,0.324685048885225,0.324685048885225,"baxter","108"
"Finegoldia",0.317164260632061,0.317164260632061,0.317164260632061,"baxter","109"
"Actinomycetales_unclassified",0.290186943335212,0.290186943335212,0.290186943335212,"baxter","110"
"Bacillales_unclassified",0.286272267905467,0.286272267905467,0.286272267905467,"baxter","111"
"Succiniclasticum",0.209783681546153,0.209783681546153,0.209783681546153,"baxter","112"
"Allisonella",0.194750205378359,0.194750205378359,0.194750205378359,"baxter","113"
"Desulfovibrionales_unclassified",0.191623687974944,0.191623687974944,0.191623687974944,"baxter","114"
"Campylobacter",0.191579355878216,0.191579355878216,0.191579355878216,"baxter","115"
"Acinetobacter",0.175538599379553,0.175538599379553,0.175538599379553,"baxter","116"
"Selenomonas",0.143895828170203,0.143895828170203,0.143895828170203,"baxter","117"
