"otu","mda_median","iqr25","iqr75","study","rank"
"Bacteroidales_unclassified",0.352658885558886,0.352658885558886,0.352658885558886,"chen","1"
"Collinsella",0.276833078033078,0.276833078033078,0.276833078033078,"chen","2"
"Dorea",0.203371767121767,0.203371767121767,0.203371767121767,"chen","3"
"Bacteroidetes_unclassified",0.197953402153402,0.197953402153402,0.197953402153402,"chen","4"
"Burkholderia",0.191485181485181,0.191485181485181,0.191485181485181,"chen","5"
"Porphyromonadaceae_unclassified",0.179223232323232,0.179223232323232,0.179223232323232,"chen","6"
"Butyricimonas",0.164782550782551,0.164782550782551,0.164782550782551,"chen","7"
"Alistipes",0.152687234987235,0.152687234987235,0.152687234987235,"chen","8"
"Robinsoniella",0.146315673215673,0.146315673215673,0.146315673215673,"chen","9"
"Burkholderiales_unclassified",0.14224237984238,0.14224237984238,0.14224237984238,"chen","10"
"Parasutterella",0.139749350649351,0.139749350649351,0.139749350649351,"chen","11"
"Lachnospiraceae_unclassified",0.139565417915418,0.139565417915418,0.139565417915418,"chen","12"
"Enterobacter",0.137470695970696,0.137470695970696,0.137470695970696,"chen","13"
"Bacilli_unclassified",0.135510067710068,0.135510067710068,0.135510067710068,"chen","14"
"Coprococcus",0.133471062271062,0.133471062271062,0.133471062271062,"chen","15"
"Clostridium_XI",0.121142535242535,0.121142535242535,0.121142535242535,"chen","16"
"Propionibacterium",0.115966921966922,0.115966921966922,0.115966921966922,"chen","17"
"Flavobacteriaceae_unclassified",0.108275391275391,0.108275391275391,0.108275391275391,"chen","18"
"Veillonellaceae_unclassified",0.0981647907647907,0.0981647907647907,0.0981647907647907,"chen","19"
"Roseburia",0.0964079254079254,0.0964079254079254,0.0964079254079254,"chen","20"
"Fusobacterium",0.0944822954822955,0.0944822954822955,0.0944822954822955,"chen","21"
"Bifidobacteriaceae_unclassified",0.0931254967254967,0.0931254967254967,0.0931254967254967,"chen","22"
"Clostridium_XlVb",0.0885443445443445,0.0885443445443445,0.0885443445443445,"chen","23"
