"study","full_model","select_model","pvalue","BH"
"wang",0.897127329192547,0.81444099378882,0.048311838266836,0.230413011314487
"weir",0.642857142857143,0.678571428571429,0.883852851249206,0.98316135982966
"ahn",0.670553618134263,0.678509154315606,0.837933559668884,0.98316135982966
"zeller",0.770487804878049,0.771219512195122,0.98316135982966,0.98316135982966
"baxter",0.74469476744186,0.737645348837209,0.78627665449514,0.98316135982966
"hale",0.666708120880487,0.596256684491979,0.523716870265778,0.98316135982966
"flemer",0.593966059082338,0.700188560653677,0.0658322889469963,0.230413011314487
