est,lower,upper,pvalue,measure,study
0.8500000000000001,0.2329893436937652,2.195492602055031,0.7805117347097874,sobs,burns
1.25,0.5043529501850365,3.347824766519485,0.6390399183714747,shannon,burns
2.6470588235294117,0.7109882068126373,15.135434677378218,0.19347178232445494,shannoneven,burns
2.5,0.9612926154295891,5.044264393255486,0.05777957112359755,sobs,chen
1.5625,0.614772093073339,4.103009229766985,0.34278171114791145,shannon,chen
Inf,0.961883891789818,Inf,0.05777957112359755,shannoneven,chen
1.3940256045519204,0.9495209948508956,1.9189653257033816,0.08689946526951764,sobs,flemer
1.238095238095238,0.905155576658716,1.7025801525185154,0.18238090235945714,shannon,flemer
1.0197105020018478,0.7029415346290611,1.5780233258229386,0.9249747223251404,shannoneven,flemer
1.0961538461538463,0.5586236405274394,1.8317955330832256,0.7681365407374208,sobs,sana
0.9150326797385621,0.5515046395733345,1.5114772904513718,0.727407048371576,shannon,sana
0.7554479418886197,0.4686146793161921,1.4538727758971353,0.3664184091814049,shannoneven,sana
