"measure","study","high_N","high_Y","low_N","low_Y"
"Acinetobacter","burns",1,1,2,2
"Acinetobacter","dejea",6,4,7,9
"Acinetobacter","geng",1,1,7,7
"Actinomyces","burns",1,1,2,2
"Actinomyces","dejea",0,4,13,9
"Actinomyces","geng",5,3,3,5
"Aeromonas","burns",0,0,3,3
"Aeromonas","dejea",5,1,8,12
"Aeromonas","geng",1,3,7,5
"Alistipes","burns",1,2,2,1
"Alistipes","dejea",6,7,7,6
"Alistipes","geng",3,5,5,3
"Alloprevotella","burns",1,2,2,1
"Alloprevotella","dejea",3,2,10,11
"Alloprevotella","geng",2,2,6,6
"Anaerococcus","burns",1,1,2,2
"Anaerococcus","dejea",0,2,13,11
"Anaerococcus","geng",1,1,7,7
"Anaerostipes","burns",1,1,2,2
"Anaerostipes","dejea",5,8,8,5
"Anaerostipes","geng",0,1,8,7
"Anaerovorax","burns",0,0,3,3
"Anaerovorax","dejea",2,4,11,9
"Anaerovorax","geng",3,3,5,5
"Bacteroides","burns",2,1,1,2
"Bacteroides","dejea",7,6,6,7
"Bacteroides","geng",4,4,4,4
"Barnesiella","burns",2,1,1,2
"Barnesiella","dejea",4,4,9,9
"Barnesiella","geng",1,3,7,5
"Bilophila","burns",0,0,3,3
"Bilophila","dejea",2,4,11,9
"Bilophila","geng",0,1,8,7
"Blautia","burns",0,1,3,2
"Blautia","dejea",6,7,7,6
"Blautia","geng",5,3,3,5
"Bradyrhizobium","burns",0,0,3,3
"Bradyrhizobium","dejea",4,2,9,11
"Bradyrhizobium","geng",4,1,4,7
"Brevundimonas","burns",0,0,3,3
"Brevundimonas","dejea",5,4,8,9
"Brevundimonas","geng",6,2,2,6
"Butyricimonas","burns",0,0,3,3
"Butyricimonas","dejea",4,5,9,8
"Butyricimonas","geng",1,2,7,6
"Campylobacter","burns",0,1,3,2
"Campylobacter","dejea",0,3,13,10
"Campylobacter","geng",0,3,8,5
"Clostridium_IV","burns",2,1,1,2
"Clostridium_IV","dejea",5,7,8,6
"Clostridium_IV","geng",1,3,7,5
"Clostridium_sensu_stricto","burns",0,0,3,3
"Clostridium_sensu_stricto","dejea",2,1,11,12
"Clostridium_sensu_stricto","geng",2,4,6,4
"Clostridium_XI","burns",1,1,2,2
"Clostridium_XI","dejea",5,7,8,6
"Clostridium_XI","geng",3,4,5,4
"Clostridium_XlVa","burns",1,1,2,2
"Clostridium_XlVa","dejea",4,9,9,4
"Clostridium_XlVa","geng",4,4,4,4
"Clostridium_XlVb","burns",1,1,2,2
"Clostridium_XlVb","dejea",5,8,8,5
"Clostridium_XlVb","geng",4,4,4,4
"Clostridium_XVIII","burns",0,0,3,3
"Clostridium_XVIII","dejea",5,7,8,6
"Clostridium_XVIII","geng",4,4,4,4
"Coprococcus","burns",0,1,3,2
"Coprococcus","dejea",2,2,11,11
"Coprococcus","geng",4,4,4,4
"Corynebacterium","burns",2,1,1,2
"Corynebacterium","dejea",1,0,12,13
