"est","lower","upper","pvalue","measure","study"
0.728,0.334398080444453,1.58488948051254,0.426059648110092,"sobs","wang"
1.17171717171717,0.539291215401224,2.54578804788328,0.690647694845843,"shannon","wang"
1.89473684210526,0.863393304519087,4.15804440692378,0.111406054641383,"shannoneven","wang"
0.25,0.0238379294530023,3.03683276618719,0.303052329490083,"sobs","weir"
0.25,0.0238379294530023,3.03683276618719,0.303052329490083,"shannon","weir"
0.25,0.0238379294530023,3.03683276618719,0.303052329490083,"shannoneven","weir"
2.5625,1.38532253731751,4.73524845434096,0.00248132165102966,"sobs","ahn"
2.10671936758893,1.14921268414133,3.85814803673705,0.0154996923583356,"shannon","ahn"
2.5625,1.38532253731751,4.73524845434096,0.00248132165102966,"shannoneven","ahn"
1.25438596491228,0.551396713832248,2.85363352645517,0.591146063724279,"sobs","zeller"
1.25438596491228,0.551396713832248,2.85363352645517,0.591146063724279,"shannon","zeller"
1.05,0.462015306520041,2.38628457637946,0.907834284533189,"shannoneven","zeller"
1.25435540069686,0.787018921971662,1.99919903744582,0.341330860369903,"sobs","baxter"
2.23429951690821,1.387922405881,3.59681082321565,0.000867255762171837,"shannon","baxter"
1.76842105263158,1.10402741807461,2.83264071905435,0.0173668660163179,"shannoneven","baxter"
0.534043362495245,0.201463166050518,1.41707052924337,0.217099304221962,"sobs","hale"
0.691176470588235,0.267337581755451,1.78875949751705,0.458956118332773,"shannon","hale"
0.691176470588235,0.267337581755451,1.78875949751705,0.458956118332773,"shannoneven","hale"
1.65789473684211,0.687722837552895,3.99269726032356,0.262206234684251,"sobs","flemer"
2.51260504201681,1.02573572302858,6.15478622361713,0.0435761395835277,"shannon","flemer"
2.51260504201681,1.02573572302858,6.15478622361713,0.0435761395835277,"shannoneven","flemer"
