"study","auc","pvalue","BH"
"wang","0.68458850931677","0.691365635304661","0.739776036208073"
"weir","0.714285714285714","0.590210133610236","0.739776036208073"
"ahn","0.639930252833479","0.670509921898865","0.739776036208073"
"zeller","0.750911129800953","0.120850703971981","0.725104223831887"
"hale","0.590761195307817","0.262428847028643","0.739776036208073"
"flemer","0.638906348208674","0.739776036208073","0.739776036208073"
"baxter","0.660540540540541",NA,NA
