"measure","study","high_N","high_Y","low_N","low_Y"
"all_four","burns",7,5,5,5
"all_four","chen",3,3,6,6
"all_four","flemer",84,63,56,31
"all_four","sana",18,17,20,16
"Fusobacterium","burns",7,5,5,5
"Fusobacterium","chen",6,5,3,4
"Fusobacterium","flemer",56,49,84,45
"Fusobacterium","sana",19,19,19,14
"Parvimonas","burns",3,1,9,9
"Parvimonas","chen",6,6,3,3
"Parvimonas","flemer",28,32,112,62
"Parvimonas","sana",1,2,37,31
"Peptostreptococcus","burns",2,3,10,7
"Peptostreptococcus","chen",2,2,7,7
"Peptostreptococcus","flemer",25,29,115,65
"Peptostreptococcus","sana",4,5,34,28
"Porphyromonas","burns",3,3,9,7
"Porphyromonas","chen",3,1,6,8
"Porphyromonas","flemer",25,31,115,63
"Porphyromonas","sana",4,2,34,31
"total_four","burns",8,5,4,5
"total_four","chen",8,6,1,3
"total_four","flemer",76,62,64,32
"total_four","sana",20,21,18,12
