otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu0829,0.00437979797979798,0.0017454545454545448,0.008215151515151512,Firmicutes,Clostridiales,Clostridiales,weir
Otu0049,0.0043560606060606055,0,0.010586796536796539,Firmicutes,Lachnospiraceae,Roseburia,weir
Otu2094,0.004285714285714285,0,0.008613888888888888,Firmicutes,Clostridiales,Clostridiales,weir
Otu0840,0.004265512265512266,0,0.007301587301587302,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0182,0.004063131313131314,0,0.007423917748917748,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu0487,0.003959595959595961,0,0.008585678210678207,Firmicutes,Clostridiales,Clostridiales,weir
Otu1317,0.003959595959595961,0,0.007568181818181818,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu3510,0.003959595959595961,0,0.009483585858585858,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0771,0.0037979797979797985,0,0.007500288600288599,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu3758,0.0037979797979797985,0,0.006737626262626263,Bacteria,Bacteria,Bacteria,weir
Otu0073,0.003717171717171716,0,0.009719588744588746,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0143,0.003654401154401154,0,0.0077818181818181805,Firmicutes,Clostridiales,Clostridiales,weir
Otu1554,0.003636363636363637,0,0.006905050505050503,Firmicutes,Clostridiales,Clostridiales,weir
Otu2742,0.003636363636363637,0,0.00694570707070707,Firmicutes,Firmicutes,Firmicutes,weir
Otu1827,0.003618181818181819,0.0025,0.00973917748917749,Firmicutes,Clostridiales,Clostridiales,weir
Otu0288,0.0036000000000000016,0,0.00808459595959596,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu1045,0.0036000000000000016,0,0.007609848484848484,Firmicutes,Clostridiales,Clostridiales,weir
Otu1826,0.0036000000000000016,0,0.006055555555555555,Firmicutes,Clostridiales,Clostridiales,weir
Otu2355,0.0036000000000000016,0,0.007084595959595959,Firmicutes,Ruminococcaceae,Faecalibacterium,weir
Otu3214,0.0036000000000000016,0,0.00692121212121212,Bacteria,Bacteria,Bacteria,weir
Otu3218,0.0036000000000000016,0,0.007133838383838384,Bacteria,Bacteria,Bacteria,weir
Otu0264,0.0035777777777777787,0,0.007141161616161617,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0698,0.0035777777777777787,0,0.007055555555555555,Firmicutes,Clostridiales,Clostridiales,weir
Otu2306,0.0035777777777777787,0,0.007236363636363635,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu3530,0.0035777777777777787,0,0.007559595959595961,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0089,0.0035555555555555553,0,0.006743506493506494,Bacteroidetes,Prevotellaceae,Prevotella,weir
Otu0152,0.0035555555555555553,0,0.005679329004329002,Bacteroidetes,Bacteroidales,Bacteroidales,weir
Otu0178,0.0035555555555555553,0,0.006579545454545454,Firmicutes,Lachnospiraceae,Coprococcus,weir
Otu0517,0.0035555555555555553,0,0.00615079365079365,Firmicutes,Streptococcaceae,Streptococcus,weir
Otu0673,0.0035555555555555553,0,0.006928571428571429,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0928,0.0035555555555555553,0,0.006545454545454545,Bacteroidetes,Bacteroidetes,Bacteroidetes,weir
Otu1001,0.0035555555555555553,0,0.0063194444444444435,Firmicutes,Ruminococcaceae,Faecalibacterium,weir
Otu1085,0.0035555555555555553,0,0.007002272727272728,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu1830,0.0035555555555555553,0,0.006976767676767675,Firmicutes,Clostridiales,Clostridiales,weir
Otu2434,0.0035555555555555553,0,0.006942676767676766,Firmicutes,Veillonellaceae,Dialister,weir
Otu2777,0.0035555555555555553,0,0.007240981240981241,Lentisphaerae,Victivallaceae,Victivallis,weir
Otu3220,0.0035555555555555553,0,0.006222222222222221,Bacteria,Bacteria,Bacteria,weir
Otu3260,0.0035555555555555553,0,0.006672979797979798,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu3546,0.0035555555555555553,0,0.007026984126984127,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu3602,0.0035555555555555553,0,0.005335606060606058,Bacteria,Bacteria,Bacteria,weir
