"full_model","select_model","pvalue","BH","study","train_model"
0.911878881987578,0.800077639751553,0.00992059193504893,0.0875513601302553,"wang","wang"
0.821428571428571,0.928571428571429,0.447628795592124,0.753541294340532,"weir","wang"
0.594376634699215,0.629795117698344,0.432640336609583,0.753541294340532,"ahn","wang"
0.62609756097561,0.776585365853659,0.00625205527384911,0.0750246632861893,"zeller","wang"
0.699539728682171,0.708527131782946,0.743377469998399,0.846179492013982,"baxter","wang"
0.540853127720433,0.553102847904489,0.90014384215079,0.953093479924365,"hale","wang"
0.582492236024845,0.710015527950311,0.0389012634026787,0.175055685312054,"wang","weir"
0.75,0.678571428571429,0.648808940049182,0.821200600191184,"weir","weir"
0.554054054054054,0.556669572798605,0.968847803761023,0.968847803761023,"ahn","weir"
0.606585365853659,0.784878048780488,0.0148040579276429,0.0888243475658574,"zeller","weir"
0.542320736434108,0.640043604651163,0.0374009777543199,0.175055685312054,"baxter","weir"
0.580276085064047,0.588794926004228,0.939643603895757,0.966490564007064,"hale","weir"
0.610830745341615,0.781055900621118,0.000669704488339829,0.0120546807901169,"wang","ahn"
0.732142857142857,0.571428571428571,0.596793391771645,0.821200600191184,"weir","ahn"
0.718668265039233,0.679871403661726,0.341324234256065,0.656371033924395,"ahn","ahn"
0.72609756097561,0.787317073170732,0.34641804568232,0.656371033924395,"zeller","ahn"
0.515818798449612,0.708624031007752,4.39178255915926e-06,0.000158104172129733,"baxter","ahn"
0.708680512374083,0.647556274095262,0.460497457652548,0.753541294340532,"hale","ahn"
0.747476708074534,0.756017080745342,0.827595462605826,0.90283141375181,"wang","zeller"
0.714285714285714,0.964285714285714,0.0891302458275668,0.320868884979241,"weir","zeller"
0.667284219703575,0.690714908456844,0.575029200520231,0.821200600191184,"ahn","zeller"
0.852682926829268,0.778048780487805,0.101614164733857,0.332555448219895,"zeller","zeller"
0.643556201550388,0.693507751937985,0.0517195715664661,0.206878286265864,"baxter","zeller"
0.620134311652779,0.519649297351076,0.254000796633004,0.609601911919209,"hale","zeller"
0.726125776397516,0.701086956521739,0.53284759219186,0.821200600191184,"wang","baxter"
0.714285714285714,0.785714285714286,0.639509875734677,0.821200600191184,"weir","baxter"
0.523648648648649,0.498092850915432,0.634985777776566,0.821200600191184,"ahn","baxter"
0.78609756097561,0.739024390243902,0.296497779738647,0.627877651211253,"zeller","baxter"
0.749612403100775,0.738856589147287,0.704100016466392,0.844920019759671,"baxter","baxter"
0.499875637358537,0.660489988807362,0.0121599111292021,0.0875513601302553,"hale","baxter"
0.603843167701863,0.710986024844721,0.126085652889358,0.33529096203478,"wang","hale"
0.75,0.392857142857143,0.130390929680192,0.33529096203478,"weir","hale"
0.60314952048823,0.583369659982563,0.661522705709565,0.821200600191184,"ahn","hale"
0.555365853658537,0.667073170731707,0.272481875129084,0.61308421904044,"zeller","hale"
0.530765503875969,0.617102713178295,0.130299493121769,0.33529096203478,"baxter","hale"
0.591095634871285,0.547693073000871,0.752159548456873,0.846179492013982,"hale","hale"
