"otu","mda_median","iqr25","iqr75","study","rank"
"Faecalibacterium",1.60483155768332,1.60483155768332,1.60483155768332,"hale","1"
"Coprococcus",1.40575007193226,1.40575007193226,1.40575007193226,"hale","2"
"Dorea",1.3025916370783,1.3025916370783,1.3025916370783,"hale","3"
"Clostridium_IV",1.19676105139138,1.19676105139138,1.19676105139138,"hale","4"
"Ruminococcus2",1.12600689323548,1.12600689323548,1.12600689323548,"hale","5"
"Bacteroidales_unclassified",1.11657425418323,1.11657425418323,1.11657425418323,"hale","6"
"Bacteroides",1.08660218885617,1.08660218885617,1.08660218885617,"hale","7"
"Lachnospiraceae_unclassified",1.0241410830762,1.0241410830762,1.0241410830762,"hale","8"
"Oscillibacter",0.956270270146226,0.956270270146226,0.956270270146226,"hale","9"
"Roseburia",0.924980796467222,0.924980796467222,0.924980796467222,"hale","10"
"Clostridium_XI",0.895338994955176,0.895338994955176,0.895338994955176,"hale","11"
"Ruminococcaceae_unclassified",0.88741452491115,0.88741452491115,0.88741452491115,"hale","12"
"Blautia",0.801989737854989,0.801989737854989,0.801989737854989,"hale","13"
"Parabacteroides",0.760697686266657,0.760697686266657,0.760697686266657,"hale","14"
"Gemmiger",0.744224945078317,0.744224945078317,0.744224945078317,"hale","15"
"Flavonifractor",0.684004105950956,0.684004105950956,0.684004105950956,"hale","16"
"Clostridium_XlVb",0.658518030776395,0.658518030776395,0.658518030776395,"hale","17"
"Bacteria_unclassified",0.657630187264277,0.657630187264277,0.657630187264277,"hale","18"
"Peptostreptococcaceae_unclassified",0.649447602627899,0.649447602627899,0.649447602627899,"hale","19"
"Firmicutes_unclassified",0.640609234836259,0.640609234836259,0.640609234836259,"hale","20"
"Clostridiales_unclassified",0.618351206499364,0.618351206499364,0.618351206499364,"hale","21"
"Clostridia_unclassified",0.606678060280671,0.606678060280671,0.606678060280671,"hale","22"
"Ruminococcus",0.587666634393862,0.587666634393862,0.587666634393862,"hale","23"
"Porphyromonadaceae_unclassified",0.586702372432039,0.586702372432039,0.586702372432039,"hale","24"
"Anaerostipes",0.57227950679746,0.57227950679746,0.57227950679746,"hale","25"
"Lachnospira",0.57183946795819,0.57183946795819,0.57183946795819,"hale","26"
"Acetanaerobacterium",0.560107901237032,0.560107901237032,0.560107901237032,"hale","27"
"Erysipelotrichaceae_unclassified",0.551863850554295,0.551863850554295,0.551863850554295,"hale","28"
"Butyricimonas",0.546306201826913,0.546306201826913,0.546306201826913,"hale","29"
"Clostridium_XlVa",0.541892875288141,0.541892875288141,0.541892875288141,"hale","30"
"Barnesiella",0.541690658943237,0.541690658943237,0.541690658943237,"hale","31"
"Deltaproteobacteria_unclassified",0.536862432873153,0.536862432873153,0.536862432873153,"hale","32"
"Butyricicoccus",0.535685786472078,0.535685786472078,0.535685786472078,"hale","33"
"Odoribacter",0.528874605005758,0.528874605005758,0.528874605005758,"hale","34"
"Alistipes",0.45737559971549,0.45737559971549,0.45737559971549,"hale","35"
"Prevotella",0.427482325608683,0.427482325608683,0.427482325608683,"hale","36"
"Bacteroidetes_unclassified",0.427011971691973,0.427011971691973,0.427011971691973,"hale","37"
"Rikenellaceae_unclassified",0.417726404522088,0.417726404522088,0.417726404522088,"hale","38"
"Holdemania",0.393758853058498,0.393758853058498,0.393758853058498,"hale","39"
"Clostridium_sensu_stricto",0.345443842918015,0.345443842918015,0.345443842918015,"hale","40"
"Anaerotruncus",0.332210107862924,0.332210107862924,0.332210107862924,"hale","41"
"Prevotellaceae_unclassified",0.328975141945999,0.328975141945999,0.328975141945999,"hale","42"
"Howardella",0.318593743619911,0.318593743619911,0.318593743619911,"hale","43"
"Alphaproteobacteria_unclassified",0.312985163695849,0.312985163695849,0.312985163695849,"hale","44"
"Anaerovorax",0.297579532857078,0.297579532857078,0.297579532857078,"hale","45"
"Collinsella",0.295050149436755,0.295050149436755,0.295050149436755,"hale","46"
"Eggerthella",0.289318069623628,0.289318069623628,0.289318069623628,"hale","47"
"Hallella",0.259680448697585,0.259680448697585,0.259680448697585,"hale","48"
"Clostridium_XVIII",0.252332039352093,0.252332039352093,0.252332039352093,"hale","49"
"Coriobacteriaceae_unclassified",0.248533251680058,0.248533251680058,0.248533251680058,"hale","50"
"Clostridiaceae_1_unclassified",0.202825558082898,0.202825558082898,0.202825558082898,"hale","51"
"Proteobacteria_unclassified",0.156208943489166,0.156208943489166,0.156208943489166,"hale","52"
"Paraprevotella",0.0973265311054353,0.0973265311054353,0.0973265311054353,"hale","53"
"Parasutterella",0.0878173139003055,0.0878173139003055,0.0878173139003055,"hale","54"
"Pseudoflavonifractor",0.0846169715584541,0.0846169715584541,0.0846169715584541,"hale","55"
"Coprobacillus",0.0462690476190476,0.0462690476190476,0.0462690476190476,"hale","56"
"Acetivibrio",0.0254109401709402,0.0254109401709402,0.0254109401709402,"hale","57"
"Akkermansia",0.0124285714285714,0.0124285714285714,0.0124285714285714,"hale","58"
