"full_model","select_model","pvalue","study","train_model"
0.75,NA,NA,"brim","brim"
0.545135135135135,NA,NA,"zeller","brim"
0.500088090204369,NA,NA,"baxter","brim"
0.529440240263974,NA,NA,"hale","brim"
0.513888888888889,NA,NA,"brim","zeller"
0.506216216216216,NA,NA,"zeller","zeller"
0.51478447263331,NA,NA,"baxter","zeller"
0.544214696409871,NA,NA,"hale","zeller"
0.75,NA,NA,"brim","baxter"
0.539189189189189,NA,NA,"zeller","baxter"
0.554601245008222,NA,NA,"baxter","baxter"
0.503867736262868,NA,NA,"hale","baxter"
0.708333333333333,NA,NA,"brim","hale"
0.577297297297297,NA,NA,"zeller","hale"
0.521288466055908,NA,NA,"baxter","hale"
0.507182233111379,NA,NA,"hale","hale"
