otu,occurance
Flavonifractor,3
Ruminococcus,3
Anaerostipes,2
Bacteroidales_unclassified,2
Blautia,2
Clostridium_XlVb,2
Lachnospiraceae_unclassified,2
Actinomyces,1
Actinomycetales_unclassified,1
Alistipes,1
Bacteria_unclassified,1
Bifidobacterium,1
Candidatus_Saccharibacteria_unclassified,1
Clostridiales_unclassified,1
Clostridia_unclassified,1
Clostridium_XlVa,1
Clostridium_XVIII,1
Dorea,1
Escherichia.Shigella,1
Gordonibacter,1
Lactobacillus,1
Lactococcus,1
Odoribacter,1
Oscillibacter,1
Parabacteroides,1
Parasutterella,1
Prevotella,1
Rhodobacteraceae_unclassified,1
Roseburia,1
Ruminococcaceae_unclassified,1
Sutterella,1
