taxa,auc,study
Coprococcus,0.5,burns
Anaerostipes,0.5,burns
Dorea,0.5,burns
Mogibacterium,0.5,burns
Blautia,0.4083333333333334,burns
Lachnospiraceae_unclassified,0.5,burns
Coprococcus,0.35514356537905395,flemer
Anaerostipes,0.2635819045651725,flemer
Dorea,0.365317083247263,flemer
Mogibacterium,0.5,flemer
Blautia,0.35514356537905395,flemer
Lachnospiraceae_unclassified,0.3246230117744268,flemer
Coprococcus,0.4444444444444444,chen
Anaerostipes,0.5,chen
Dorea,0.2222222222222222,chen
Mogibacterium,0.5555555555555556,chen
Blautia,0.4444444444444444,chen
Lachnospiraceae_unclassified,0.33333333333333337,chen
