otu,mda_median,iqr25,iqr75,study,rank
Helicobacteraceae_unclassified,0.00846666666666667,0.00846666666666667,0.00846666666666667,burns,84
Prevotella,0.00833333333333333,0.00833333333333333,0.00833333333333333,burns,85
Akkermansia,0.00813333333333333,0.00813333333333333,0.00813333333333333,burns,86
Carnobacteriaceae_unclassified,0.00813333333333333,0.00813333333333333,0.00813333333333333,burns,87
Clostridium_XlVa,0.008,0.008,0.008,burns,88
Peptostreptococcus,0.0076,0.0076,0.0076,burns,89
Actinomyces,0.00746666666666667,0.00746666666666667,0.00746666666666667,burns,90
Micrococcaceae_unclassified,0.00726666666666667,0.00726666666666667,0.00726666666666667,burns,91
Parasutterella,0.00666666666666667,0.00666666666666667,0.00666666666666667,burns,92
Anaerostipes,0.00633333333333333,0.00633333333333333,0.00633333333333333,burns,93
Clostridium_IV,0.00633333333333333,0.00633333333333333,0.00633333333333333,burns,94
Desulfovibrionaceae_unclassified,0.00633333333333333,0.00633333333333333,0.00633333333333333,burns,95
Mogibacterium,0.00633333333333333,0.00633333333333333,0.00633333333333333,burns,96
Auritidibacter,0.006,0.006,0.006,burns,97
Clostridiales_Incertae_Sedis_XI_unclassified,0.006,0.006,0.006,burns,98
Clostridia_unclassified,0.006,0.006,0.006,burns,99
Clostridium_XI,0.006,0.006,0.006,burns,100
Haemophilus,0.006,0.006,0.006,burns,101
Mobiluncus,0.006,0.006,0.006,burns,102
Nosocomiicoccus,0.006,0.006,0.006,burns,103
Propionibacteriaceae_unclassified,0.00566666666666667,0.00566666666666667,0.00566666666666667,burns,104
Clostridium_XlVb,0.00533333333333333,0.00533333333333333,0.00533333333333333,burns,105
Cloacibacterium,0.00533333333333333,0.00533333333333333,0.00533333333333333,burns,106
Enterococcaceae_unclassified,0.00533333333333333,0.00533333333333333,0.00533333333333333,burns,107
Peptococcus,0.00533333333333333,0.00533333333333333,0.00533333333333333,burns,108
Synergistaceae_unclassified,0.00533333333333333,0.00533333333333333,0.00533333333333333,burns,109
Finegoldia,0.00513333333333333,0.00513333333333333,0.00513333333333333,burns,110
Niastella,0.00513333333333333,0.00513333333333333,0.00513333333333333,burns,111
Gammaproteobacteria_unclassified,0.00333333333333333,0.00333333333333333,0.00333333333333333,burns,112
Peptostreptococcaceae_unclassified,0.00333333333333333,0.00333333333333333,0.00333333333333333,burns,113
Rhizobiales_unclassified,0.00333333333333333,0.00333333333333333,0.00333333333333333,burns,114
Roseburia,0.00333333333333333,0.00333333333333333,0.00333333333333333,burns,115
Acinetobacter,0.003,0.003,0.003,burns,116
Campylobacter,0.003,0.003,0.003,burns,117
Lactococcus,0.003,0.003,0.003,burns,118
Ruminococcus,0.003,0.003,0.003,burns,119
Sporobacter,0.003,0.003,0.003,burns,120
Veillonella,0.00266666666666667,0.00266666666666667,0.00266666666666667,burns,121
Odoribacter,0.00213333333333333,0.00213333333333333,0.00213333333333333,burns,122
Selenomonadales_unclassified,0.00213333333333333,0.00213333333333333,0.00213333333333333,burns,123
Treponema,0.00213333333333333,0.00213333333333333,0.00213333333333333,burns,124
Leuconostoc,0.002,0.002,0.002,burns,125
Actinomycetaceae_unclassified,0,0,0,burns,126
Arthrobacter,0,0,0,burns,127
Clostridiaceae_1_unclassified,0,0,0,burns,128
Dermacoccaceae_unclassified,0,0,0,burns,129
Kineosporiaceae_unclassified,0,0,0,burns,130
Lactobacillaceae_unclassified,0,0,0,burns,131
Oscillibacter,0,0,0,burns,132
Turicella,0,0,0,burns,133
Fusobacteriaceae_unclassified,0.53208514742911,0.53208514742911,0.53208514742911,dejea,1
Clostridium_XlVa,0.474886926803921,0.474886926803921,0.474886926803921,dejea,2
Bacteroidetes_unclassified,0.447886685210215,0.447886685210215,0.447886685210215,dejea,3
Fusobacterium,0.430772228416952,0.430772228416952,0.430772228416952,dejea,4
Phenylobacterium,0.375149855430162,0.375149855430162,0.375149855430162,dejea,5
Bacteroidales_unclassified,0.37061438149129,0.37061438149129,0.37061438149129,dejea,6
Peptostreptococcus,0.338362211008805,0.338362211008805,0.338362211008805,dejea,7
Bacteria_unclassified,0.301495580211356,0.301495580211356,0.301495580211356,dejea,8
Flavonifractor,0.298403502878271,0.298403502878271,0.298403502878271,dejea,9
Parabacteroides,0.290076366521709,0.290076366521709,0.290076366521709,dejea,10
Clostridium_XlVb,0.280264566827408,0.280264566827408,0.280264566827408,dejea,11
Enterobacteriaceae_unclassified,0.267059889044564,0.267059889044564,0.267059889044564,dejea,12
Porphyromonadaceae_unclassified,0.258191687775589,0.258191687775589,0.258191687775589,dejea,13
Ruminococcus,0.25104317648296,0.25104317648296,0.25104317648296,dejea,14
Gemella,0.209871901129486,0.209871901129486,0.209871901129486,dejea,15
Burkholderiaceae_unclassified,0.207401898720475,0.207401898720475,0.207401898720475,dejea,16
Rikenellaceae_unclassified,0.205766372606768,0.205766372606768,0.205766372606768,dejea,17
Subdoligranulum,0.204330971136221,0.204330971136221,0.204330971136221,dejea,18
