genus,occurance
Bacteroidaceae,2
Comamonadaceae,2
Erysipelotrichaceae,2
Fusobacteriaceae,2
Lachnospiraceae,2
Caulobacteraceae,1
Clostridiales_Incertae_Sedis_XI,1
Deinococcaceae,1
Enterobacteriaceae,1
Microbacteriaceae,1
Propionibacteriaceae,1
Rikenellaceae,1
Ruminococcaceae,1
Streptococcaceae,1
Thermaceae,1
