"measure","study","high_N","high_Y","low_N","low_Y"
"shannon","burns",8,6,7,7
"shannon","chen",7,2,2,7
"shannon","dejea",7,10,9,9
"shannon","flemer",74,43,66,51
"shannon","geng",3,5,5,3
"shannon","sana",17,18,21,15
"shannoneven","burns",8,6,7,7
"shannoneven","chen",7,2,2,7
"shannoneven","dejea",7,10,9,9
"shannoneven","flemer",73,44,67,50
"shannoneven","geng",3,5,5,3
"shannoneven","sana",16,19,22,14
"sobs","burns",8,6,7,7
"sobs","chen",6,3,3,6
"sobs","dejea",9,8,7,11
"sobs","flemer",79,38,61,56
"sobs","geng",2,6,6,2
"sobs","sana",17,18,21,15
