"study","auc","pvalue","BH"
"wang","0.684782608695652","0.272647758181349","0.408971637272023"
"weir","0.535714285714286","0.768411707933602","0.870446193179962"
"ahn","0.707552310374891","0.132812782784766","0.398438348354299"
"zeller","0.752926829268293","0.0590927412378712","0.354556447427227"
"baxter","0.581928294573643","0.870446193179962","0.870446193179962"
"hale","0.480785971894043","0.228883115862766","0.408971637272023"
"flemer","0.593966059082338",NA,NA
