"measure","study","high_N","high_Y","low_N","low_Y"
"Citrobacter","lu",0,1,20,19
"Cloacibacillus","flemer",11,3,92,34
"Cloacibacillus","lu",0,2,20,18
"Cloacibacterium","flemer",1,1,102,36
"Cloacibacterium","lu",6,2,14,18
"Clostridiaceae_1_unclassified","flemer",51,14,52,23
"Clostridiaceae_1_unclassified","lu",12,8,8,12
"Clostridiales_Incertae_Sedis_XIII_unclassified","flemer",2,0,101,37
"Clostridiales_Incertae_Sedis_XIII_unclassified","lu",6,10,14,10
"Clostridiales_Incertae_Sedis_XI_unclassified","flemer",0,0,103,37
"Clostridiales_Incertae_Sedis_XI_unclassified","lu",1,1,19,19
"Clostridiales_unclassified","flemer",47,23,56,14
"Clostridiales_unclassified","lu",9,11,11,9
"Clostridia_unclassified","flemer",54,14,49,23
"Clostridia_unclassified","lu",5,4,15,16
"Clostridium_IV","flemer",54,16,49,21
"Clostridium_IV","lu",11,9,9,11
"Clostridium_sensu_stricto","flemer",51,19,52,18
"Clostridium_sensu_stricto","lu",11,9,9,11
"Clostridium_XI","flemer",51,19,52,18
"Clostridium_XI","lu",13,7,7,13
"Clostridium_XIX","flemer",0,1,103,36
"Clostridium_XIX","lu",6,2,14,18
"Clostridium_XlVa","flemer",48,22,55,15
"Clostridium_XlVa","lu",10,10,10,10
"Clostridium_XlVb","flemer",50,20,53,17
"Clostridium_XlVb","lu",11,9,9,11
"Clostridium_XVIII","flemer",51,18,52,19
"Clostridium_XVIII","lu",11,9,9,11
"Collinsella","flemer",48,22,55,15
"Collinsella","lu",13,7,7,13
"Comamonadaceae_unclassified","flemer",1,0,102,37
"Comamonadaceae_unclassified","lu",8,12,12,8
"Comamonas","flemer",3,0,100,37
"Comamonas","lu",11,9,9,11
"Coprobacillus","flemer",6,1,97,36
"Coprobacillus","lu",2,4,18,16
"Coprococcus","flemer",47,23,56,14
"Coprococcus","lu",10,10,10,10
"Coriobacteriaceae_unclassified","flemer",49,19,54,18
"Coriobacteriaceae_unclassified","lu",3,2,17,18
"Corynebacterium","flemer",17,8,86,29
"Corynebacterium","lu",11,9,9,11
"Cystobacteraceae_unclassified","flemer",1,0,102,37
"Cystobacteraceae_unclassified","lu",1,0,19,20
"Deinococcus","flemer",0,0,103,37
"Deinococcus","lu",5,8,15,12
"Delftia","flemer",0,1,103,36
"Delftia","lu",12,8,8,12
"Deltaproteobacteria_unclassified","flemer",29,10,74,27
"Deltaproteobacteria_unclassified","lu",4,3,16,17
"Dermabacter","flemer",1,0,102,37
"Dermabacter","lu",0,1,20,19
"Desulfovibrio","flemer",45,22,58,15
"Desulfovibrio","lu",7,5,13,15
"Desulfovibrionaceae_unclassified","flemer",44,18,59,19
"Desulfovibrionaceae_unclassified","lu",6,3,14,17
"Desulfovibrionales_unclassified","flemer",17,9,86,28
"Desulfovibrionales_unclassified","lu",1,2,19,18
"Dialister","flemer",53,16,50,21
"Dialister","lu",7,9,13,11
"Dietzia","flemer",1,0,102,37
"Dietzia","lu",11,9,9,11
"Dolosigranulum","flemer",1,0,102,37
"Dolosigranulum","lu",1,1,19,19
"Dorea","flemer",52,18,51,19
"Dorea","lu",11,9,9,11
"Dysgonomonas","flemer",2,0,101,37
"Dysgonomonas","lu",0,1,20,19
"Eggerthella","flemer",42,16,61,21
"Eggerthella","lu",4,4,16,16
"Eikenella","flemer",4,3,99,34
"Eikenella","lu",1,1,19,19
"Enterobacter","flemer",8,7,95,30
"Enterobacter","lu",1,6,19,14
"Enterobacteriaceae_unclassified","flemer",44,25,59,12
"Enterobacteriaceae_unclassified","lu",10,10,10,10
"Enterococcaceae_unclassified","flemer",1,0,102,37
"Enterococcaceae_unclassified","lu",2,3,18,17
"Enterococcus","flemer",7,2,96,35
"Enterococcus","lu",12,8,8,12
"Erysipelotrichaceae_unclassified","flemer",45,25,58,12
"Erysipelotrichaceae_unclassified","lu",9,11,11,9
"Escherichia.Shigella","flemer",46,24,57,13
"Escherichia.Shigella","lu",10,10,10,10
"Eubacteriaceae_unclassified","flemer",5,4,98,33
"Eubacteriaceae_unclassified","lu",2,2,18,18
"Eubacterium","flemer",25,3,78,34
"Eubacterium","lu",4,4,16,16
"Exiguobacterium","flemer",0,1,103,36
"Exiguobacterium","lu",10,9,10,11
"Facklamia","flemer",0,1,103,36
"Facklamia","lu",10,10,10,10
"Faecalibacterium","flemer",47,23,56,14
"Faecalibacterium","lu",12,8,8,12
"Finegoldia","flemer",9,4,94,33
"Finegoldia","lu",4,2,16,18
"Firmicutes_unclassified","flemer",46,24,57,13
"Firmicutes_unclassified","lu",11,9,9,11
"Flavobacteriaceae_unclassified","flemer",2,2,101,35
"Flavobacteriaceae_unclassified","lu",11,9,9,11
"Flavobacteriales_unclassified","flemer",0,1,103,36
"Flavobacteriales_unclassified","lu",1,2,19,18
"Flavobacterium","flemer",0,0,103,37
"Flavobacterium","lu",9,11,11,9
"Flavonifractor","flemer",47,23,56,14
"Flavonifractor","lu",10,10,10,10
"Fusobacteriaceae_unclassified","flemer",4,2,99,35
"Fusobacteriaceae_unclassified","lu",10,10,10,10
"Fusobacterium","flemer",39,27,64,10
"Fusobacterium","lu",9,11,11,9
"Gallicola","flemer",2,0,101,37
