"study","auc","pvalue","BH"
"wang",0.710015527950311,0.877034443521975,1
"weir",0.678571428571429,1,1
"ahn",0.556669572798605,0.541524710068361,1
"zeller",0.784878048780488,0.596805643996952,1
"baxter",0.640043604651163,0.846848130596493,1
"hale",0.588794926004228,0.654527610158935,1
