"study","auc","pvalue","BH"
"weir","0.803571428571429","0.948438309991755","0.948438309991755"
"ahn","0.584895379250218","0.00103107397354021","0.00618644384124126"
"zeller","0.752926829268293","0.555403764735706","0.666484517682848"
"baxter","0.726114341085271","0.216193988763358","0.324290983145037"
"hale","0.686917050118145","0.203604711447287","0.324290983145037"
"flemer","0.661847894406034","0.0949767637913461","0.284930291374038"
"wang","0.794060559006211",NA,NA
