"study","auc","pvalue","BH"
"brim","0.583333333333333","0.682776851827584","0.682776851827584"
"baxter","0.474424477331454","0.643223667029708","0.682776851827584"
"hale","0.568576989192073","0.347106948028517","0.682776851827584"
"zeller","0.507027027027027",NA,NA
