otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu01467,0,0,0.0037624999999999994,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01478,0,0,0.0017193675889328065,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu01482,0,0,0.006427777777777776,Actinobacteria,Coriobacteriaceae,Coriobacteriaceae,lu
Otu01486,0,0,0.0033669467787114838,Bacteroidetes,Flavobacteriaceae,Flavobacteriaceae,lu
Otu01494,0,0,0.006414646464646461,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu01517,0,0,0.00404465709728868,Bacteroidetes,Sphingobacteriaceae,Sphingobacteriaceae,lu
Otu01521,0,0,0.003334249226006192,Proteobacteria,Chromatiaceae,Chromatiaceae,lu
Otu01527,0,0,0.003806521739130433,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01539,0,0,0.003833850931677021,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu01547,0,0,0.003820105820105821,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,lu
Otu01555,0,0,0.007841474654377881,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01557,0,0,0.0064619047619047625,Actinobacteria,Micrococcaceae,Micrococcaceae,lu
Otu01561,0,0,0.005557018633540377,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01567,0,0,0.0037860780984719893,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu01568,0,0,0,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu01570,0,0,0,Bacteroidetes,Flavobacteriaceae,Flavobacteriaceae,lu
Otu01585,0,0,0.006883116883116887,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu01586,0,0,0.002589743589743588,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu01587,0,0,0,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu01600,0,0,0,Firmicutes,Bacillales_Incertae_Sedis_XI,Bacillales_Incertae_Sedis_XI,lu
Otu01606,0,0,0,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,lu
Otu01619,0,0,0.0067545442908346146,Firmicutes,Listeriaceae,Listeriaceae,lu
Otu01622,0,0,0.003730158730158731,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,lu
Otu01625,0,0,6.500000000000002e-4,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu01629,0,0,0.006922980523627075,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,lu
