"est","lower","upper","pvalue","measure","study"
1.3,0.846300035300099,2.02689012175233,0.232505843737188,"Fusobacterium","wang"
3.18881118881119,2.22793720121693,4.67862036741761,2.08839225912527e-08,"Peptostreptococcus","wang"
1.6875,1.07202810744537,2.46428454162216,0.0258115462290706,"Porphyromonas","wang"
2.41628959276018,1.64085347325987,3.27465048631162,0.000250118192133497,"Parvimonas","wang"
2.67948717948718,1.84295393893459,3.90679197167618,2.71449294331205e-06,"all_four","wang"
1.875,1.19799098715855,3.03467171326927,0.00533902499048566,"total_four","wang"
2,0.760469390592208,4.64649334121827,0.124710412652684,"Fusobacterium","weir"
1.66666666666667,0.328437699288192,3.19822158683736,0.427879807918249,"Peptostreptococcus","weir"
1.8,0.562440393031919,3.7502161976833,0.237255826623495,"Porphyromonas","weir"
1.8,0.562440393031919,3.7502161976833,0.237255826623495,"Parvimonas","weir"
2.33333333333333,0.961776895999729,6.32031926973155,0.0580640341669226,"all_four","weir"
2.33333333333333,0.961776895999729,6.32031926973155,0.0580640341669226,"total_four","weir"
2.08791208791209,1.36324911957843,3.0601714274927,0.000963023618596792,"Fusobacterium","ahn"
2.68013468013468,1.53943933313646,3.78385146255276,0.00125122620192553,"Peptostreptococcus","ahn"
2.16,1.31254685508392,3.18372073882419,0.00344726081856794,"Porphyromonas","ahn"
1.68191721132898,0.901523750631298,2.67657819631502,0.098267889222921,"Parvimonas","ahn"
2.3030303030303,1.53877677049377,3.40213869050093,5.86166671804333e-05,"all_four","ahn"
2.3030303030303,1.53877677049377,3.40213869050093,5.86166671804333e-05,"total_four","ahn"
3.5626102292769,2.2687324006663,5.52405622885729,1.35830970249273e-07,"Fusobacterium","zeller"
3.21428571428571,1.90404695946038,5.51990844803064,5.39690501988321e-06,"Peptostreptococcus","zeller"
1.55833333333333,0.936474044287826,2.52288394806049,0.0870106699680638,"Porphyromonas","zeller"
2.69281914893617,1.6227915228374,4.51167052959922,9.29391830057913e-05,"Parvimonas","zeller"
3.11538461538462,1.97370644513064,4.67333491789069,7.34212615438601e-06,"all_four","zeller"
3.70065789473684,2.2602537601097,6.11392097338605,1.04454793037334e-07,"total_four","zeller"
1.77272727272727,1.30065741629755,2.41520715744451,0.000266935555272685,"Fusobacterium","baxter"
2.76276276276276,2.05405349101668,3.65817751044182,8.02398147925487e-11,"Peptostreptococcus","baxter"
1.8221906116643,1.33884255321354,2.47623627041013,0.000125905291524564,"Porphyromonas","baxter"
2.18023582257159,1.61017594958331,2.93142911021163,5.14916869476245e-07,"Parvimonas","baxter"
2.46737894976131,1.81404095611463,3.353187028888,4.97563490409192e-09,"all_four","baxter"
2.37174211248285,1.68401388184027,3.36538549425843,2.66664324843902e-07,"total_four","baxter"
3.55714285714286,1.1109753768585,10.717101866218,0.0309815468417616,"Fusobacterium","hale"
14.6041666666667,2.57980292163771,43.1202117178188,0.000472208613833347,"Peptostreptococcus","hale"
0,0,30.8324052687346,0.823705670955673,"Porphyromonas","hale"
0,0,19.3925987735589,0.724085923490872,"Parvimonas","hale"
4.30114566284779,1.50057195935628,11.7546969066457,0.00483074095231495,"all_four","hale"
4.30114566284779,1.50057195935628,11.7546969066457,0.00483074095231495,"total_four","hale"
1.49538461538462,0.992601797168655,2.19180721807415,0.053979349683813,"Fusobacterium","flemer"
2.19354838709677,1.59236697077011,2.91503691214038,0.000491473094093253,"Peptostreptococcus","flemer"
1.73333333333333,1.14197043995722,2.42854416361321,0.0136394281950279,"Porphyromonas","flemer"
1.36425339366516,0.80050241582996,1.97692300409878,0.221223079075157,"Parvimonas","flemer"
1.52941176470588,1.01218836656747,2.39107434618425,0.0435761395835277,"all_four","flemer"
1.52941176470588,1.01218836656747,2.39107434618425,0.0435761395835277,"total_four","flemer"
