otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu0124,0.10350158730158729,0.08428214285714283,0.12554642857142856,Firmicutes,Ruminococcaceae,Ruminococcaceae,brim
Otu0062,0.07933650793650793,0.060116630591630575,0.09645357142857143,Firmicutes,Ruminococcaceae,Ruminococcaceae,brim
Otu0206,0.06967301587301586,0.05686825396825397,0.08628611111111112,Firmicutes,Firmicutes,Firmicutes,brim
Otu0092,0.058115079365079356,0.04057777777777777,0.07750912698412699,Firmicutes,Firmicutes,Firmicutes,brim
Otu0057,0.05739365079365079,0.04437896825396825,0.07132698412698413,Firmicutes,Lachnospiraceae,Clostridium_XlVb,brim
Otu0026,0.05586500721500721,0.03977182539682539,0.07545674603174601,Bacteroidetes,Porphyromonadaceae,Odoribacter,brim
Otu0098,0.05193809523809523,0.03660753968253967,0.06568650793650793,Bacteroidetes,Prevotellaceae,Paraprevotella,brim
Otu0420,0.048796825396825394,0.03387579365079364,0.06130818903318902,Firmicutes,Streptococcaceae,Streptococcus,brim
Otu0085,0.04855548340548341,0.03590992063492064,0.06377579365079364,Proteobacteria,Sutterellaceae,Sutterella,brim
Otu0069,0.04787063492063492,0.03370079365079364,0.06121388888888888,Firmicutes,Lachnospiraceae,Lachnospiraceae,brim
Otu0295,0.045951515151515146,0.036933333333333325,0.058889682539682534,Firmicutes,Lachnospiraceae,Lachnospiraceae,brim
Otu0005,0.04190079365079365,0.03332023809523809,0.05422301587301587,Bacteroidetes,Bacteroidaceae,Bacteroides,brim
Otu0017,0.036740476190476185,0.022115873015873016,0.04664004329004328,Firmicutes,Lachnospiraceae,Blautia,brim
Otu0093,0.0353968253968254,0.023324206349206348,0.046400649350649345,Firmicutes,Clostridiales,Clostridiales,brim
Otu0083,0.03442539682539682,0.022320238095238094,0.042683333333333316,Bacteria,Bacteria,Bacteria,brim
Otu0027,0.033945310245310244,0.023719047619047612,0.048031096681096674,Bacteroidetes,Porphyromonadaceae,Parabacteroides,brim
Otu0097,0.03327857142857142,0.023351190476190477,0.04349166666666666,Bacteria,Bacteria,Bacteria,brim
Otu0006,0.03282857142857143,0.024236904761904765,0.040575,Bacteroidetes,Bacteroidaceae,Bacteroides,brim
Otu0088,0.03276904761904762,0.02480357142857143,0.04390357142857142,Firmicutes,Clostridiales,Clostridiales,brim
Otu0099,0.03263253968253969,0.02199722222222222,0.04314801587301588,Firmicutes,Ruminococcaceae,Ruminococcaceae,brim
Otu0119,0.032027777777777766,0.02411468253968254,0.04096388888888888,Firmicutes,Peptostreptococcaceae,Clostridium_XI,brim
Otu0128,0.031421428571428565,0.02369285714285714,0.041706349206349205,Firmicutes,Streptococcaceae,Streptococcus,brim
Otu0066,0.031152380952380952,0.023218939393939396,0.03805595238095238,Firmicutes,Streptococcaceae,Streptococcus,brim
Otu0042,0.030397619047619045,0.020925,0.04069523809523809,Firmicutes,Firmicutes,Firmicutes,brim
Otu0188,0.029831746031746025,0.01838611111111111,0.04338492063492063,Actinobacteria,Coriobacteriaceae,Eggerthella,brim
Otu0100,0.029478571428571423,0.019337301587301584,0.04147142857142857,Bacteroidetes,Bacteroidaceae,Bacteroides,brim
Otu0070,0.027819047619047618,0.020552344877344874,0.038311904761904755,Firmicutes,Erysipelotrichaceae,Clostridium_XVIII,brim
Otu0034,0.026157936507936505,0.019286904761904762,0.036411904761904756,Firmicutes,Firmicutes,Firmicutes,brim
Otu0173,0.025676118326118325,0.01773333333333333,0.036352777777777776,Bacteria,Bacteria,Bacteria,brim
Otu0259,0.025672222222222214,0.017738095238095233,0.03599642857142857,Firmicutes,Lachnospiraceae,Clostridium_XlVa,brim
Otu0021,0.025033333333333338,0.018821825396825396,0.03318293650793651,Bacteroidetes,Bacteroidaceae,Bacteroides,brim
Otu0172,0.02456666666666666,0.014076190476190475,0.034467460317460306,Firmicutes,Clostridiales,Clostridiales,brim
Otu0044,0.024533333333333334,0.016986904761904762,0.03748095238095238,Firmicutes,Ruminococcaceae,Ruminococcaceae,brim
Otu0356,0.024115079365079364,0.013203174603174602,0.03280238095238095,Candidatus_Saccharibacteria,Candidatus_Saccharibacteria,Candidatus_Saccharibacteria,brim
Otu0224,0.02408333333333333,0.01873412698412698,0.03457777777777778,Bacteroidetes,Bacteroidaceae,Bacteroides,brim
Otu0018,0.0240547619047619,0.01685595238095238,0.03210036075036075,Firmicutes,Clostridiales,Clostridiales,brim
Otu0014,0.02394278499278499,0.015138095238095239,0.03538015873015872,Firmicutes,Ruminococcaceae,Ruminococcaceae,brim
Otu0010,0.023412698412698413,0.015328066378066376,0.03250952380952381,Firmicutes,Lachnospiraceae,Lachnospiraceae,brim
Otu0466,0.023164285714285714,0.014845238095238094,0.03400952380952381,Actinobacteria,Coriobacteriaceae,Coriobacteriaceae,brim
Otu0310,0.022869047619047615,0.015299999999999998,0.030809523809523807,Firmicutes,Lachnospiraceae,Lachnospiraceae,brim
