"median_w_person","q25_w_person.25%","q75_w_person.75%","median_bw_group","q25_bw_group.25%","q75_bw_group.75%","pvalue","study","bh"
0.615162,0.293516,0.851372,0.883404,0.7406545,0.946428,0.003131540981086,"dejea",0.004697311471629
0.594177,0.4973195,0.728828,0.995573,0.989227,0.99913975,2.06212818025895e-05,"geng",6.18638454077684e-05
0.895561,0.8358105,0.9356485,0.990898,0.9775065,0.9950625,0.2,"burns",0.2
