"study","auc","pvalue","BH"
"wang",0.582492236024845,0.399121029204117,0.538463115424507
"weir",0.75,1,1
"ahn",0.554054054054054,0.313305851886991,0.538463115424507
"zeller",0.606585365853659,0.448719262853756,0.538463115424507
"baxter",0.542320736434108,0.271344576037022,0.538463115424507
"hale",0.580276085064047,0.4143789694338,0.538463115424507
