genus,occurance
Ruminococcaceae,4
Bacteroidaceae,3
Lachnospiraceae,3
Enterobacteriaceae,2
Erysipelotrichaceae,2
Streptococcaceae,2
Bacillaceae_,1
Burkholderiaceae,1
Burkholderiales_incertae_sedis,1
Comamonadaceae,1
Coriobacteriaceae,1
Helicobacteraceae,1
Prevotellaceae,1
Rikenellaceae,1
