"est","lower","upper","pvalue","measure","study"
1,0.0539391822851015,18.5393985899599,1,"Acinetobacter","burns"
1,0.0539391822851015,18.5393985899599,1,"Actinomyces","burns"
NA,NA,NA,NA,"Aeromonas","burns"
4,0.183503265879452,87.1919086743163,0.414216178242525,"Alistipes","burns"
4,0.183503265879452,87.1919086743163,0.414216178242525,"Alloprevotella","burns"
1,0.0539391822851015,18.5393985899599,1,"Anaerococcus","burns"
1,0.0539391822851015,18.5393985899599,1,"Anaerostipes","burns"
NA,NA,NA,NA,"Anaerovorax","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Bacteroides","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Barnesiella","burns"
NA,NA,NA,NA,"Bilophila","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Blautia","burns"
NA,NA,NA,NA,"Bradyrhizobium","burns"
NA,NA,NA,NA,"Brevundimonas","burns"
NA,NA,NA,NA,"Butyricimonas","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Campylobacter","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Clostridium_IV","burns"
NA,NA,NA,NA,"Clostridium_sensu_stricto","burns"
1,0.0539391822851015,18.5393985899599,1,"Clostridium_XI","burns"
1,0.0539391822851015,18.5393985899599,1,"Clostridium_XlVa","burns"
1,0.0539391822851015,18.5393985899599,1,"Clostridium_XlVb","burns"
NA,NA,NA,NA,"Clostridium_XVIII","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Coprococcus","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Corynebacterium","burns"
4,0.183503265879452,87.1919086743163,0.414216178242525,"Dialister","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Dorea","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Eggerthella","burns"
NA,NA,NA,NA,"Eikenella","burns"
NA,NA,NA,NA,"Enhydrobacter","burns"
NA,NA,NA,NA,"Enterococcus","burns"
1,0.0539391822851015,18.5393985899599,1,"Finegoldia","burns"
NA,NA,NA,NA,"Flavonifractor","burns"
4,0.183503265879452,87.1919086743163,0.414216178242525,"Fusobacterium","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Gemella","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Haemophilus","burns"
NA,NA,NA,NA,"Herbaspirillum","burns"
NA,NA,NA,NA,"Lachnoanaerobaculum","burns"
4,0.183503265879452,87.1919086743163,0.414216178242525,"Lactobacillus","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Lactococcus","burns"
NA,NA,NA,NA,"Leptotrichia","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Leuconostoc","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Mobiluncus","burns"
0,0,4.17690461296509,0.273321678292298,"Mogibacterium","burns"
1,0.0539391822851015,18.5393985899599,1,"Odoribacter","burns"
1,0.0539391822851015,18.5393985899599,1,"Oscillibacter","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Parabacteroides","burns"
NA,NA,NA,NA,"Paraprevotella","burns"
0,0,4.17690461296509,0.273321678292298,"Parasutterella","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Parvimonas","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Peptoniphilus","burns"
1,0.0539391822851015,18.5393985899599,1,"Peptostreptococcus","burns"
4,0.183503265879452,87.1919086743163,0.414216178242525,"Porphyromonas","burns"
1,0.0539391822851015,18.5393985899599,1,"Prevotella","burns"
4,0.183503265879452,87.1919086743163,0.414216178242525,"Propionibacterium","burns"
NA,NA,NA,NA,"Pyramidobacter","burns"
0,0,4.17690461296509,0.273321678292298,"Roseburia","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Ruminococcus","burns"
1,0.0539391822851015,18.5393985899599,1,"Ruminococcus2","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Sphingomonas","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Streptococcus","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Subdoligranulum","burns"
0.25,0.0114689541174658,5.44949429214477,0.414216178242525,"Sutterella","burns"
Inf,0.23935371904297,Inf,0.273321678292298,"Veillonella","burns"
0.518518518518518,0.109770747476298,2.46403224258262,0.42011267955064,"Acinetobacter","dejea"
Inf,1.27422561232965,Inf,0.029687924523298,"Actinomyces","dejea"
0.133333333333333,0.0178588545856194,1.09570920501075,0.0626173742147873,"Aeromonas","dejea"
1.36111111111111,0.301705684791615,6.14049900342352,0.694886602372473,"Alistipes","dejea"
0.606060606060606,0.0992385690889662,3.79872305381899,0.618756591300427,"Alloprevotella","dejea"
Inf,0.534875586548388,Inf,0.141031640520716,"Anaerococcus","dejea"
2.56,0.547397853516288,11.9722793173229,0.239316541221495,"Anaerostipes","dejea"
2.44444444444444,0.405902469819779,14.1441075398249,0.351879772106333,"Anaerovorax","dejea"
0.73469387755102,0.162853214281521,3.31448842500497,0.694886602372473,"Bacteroides","dejea"
1,0.202389912866128,4.94095770801314,1,"Barnesiella","dejea"
2.44444444444444,0.405902469819779,14.1441075398249,0.351879772106333,"Bilophila","dejea"
1.36111111111111,0.301705684791615,6.14049900342352,0.694886602372473,"Blautia","dejea"
0.409090909090909,0.0707008199127687,2.46364600945641,0.351879772106333,"Bradyrhizobium","dejea"
0.711111111111111,0.148747914264264,3.41660232192543,0.680169901239008,"Brevundimonas","dejea"
1.40625,0.292688438915668,6.72278334083671,0.680169901239008,"Butyricimonas","dejea"
Inf,0.867365368906814,Inf,0.0655410821530713,"Campylobacter","dejea"
1.86666666666667,0.406796651276941,8.56556816165209,0.431401416947178,"Clostridium_IV","dejea"
0.458333333333333,0.053320152557543,4.14166890626085,0.539314576119204,"Clostridium_sensu_stricto","dejea"
1.86666666666667,0.406796651276941,8.56556816165209,0.431401416947178,"Clostridium_XI","dejea"
5.0625,1.00031329307597,25.6208794058818,0.049860203756907,"Clostridium_XlVa","dejea"
2.56,0.547397853516288,11.9722793173229,0.239316541221495,"Clostridium_XlVb","dejea"
1.86666666666667,0.406796651276941,8.56556816165209,0.431401416947178,"Clostridium_XVIII","dejea"
1,0.146695203890846,6.81685544909897,1,"Coprococcus","dejea"
0,0,3.92105030101069,0.307821471908843,"Corynebacterium","dejea"
1.36111111111111,0.301705684791615,6.14049900342352,0.694886602372473,"Dialister","dejea"
2.56,0.547397853516288,11.9722793173229,0.239316541221495,"Dorea","dejea"
2.44444444444444,0.405902469819779,14.1441075398249,0.351879772106333,"Eggerthella","dejea"
Inf,0.255165020515318,Inf,0.307821471908843,"Eikenella","dejea"
0.290909090909091,0.0516513892157362,1.7172527520894,0.184699559516488,"Enhydrobacter","dejea"
0,0,3.92105030101069,0.307821471908843,"Enterococcus","dejea"
Inf,0.534875586548388,Inf,0.141031640520716,"Finegoldia","dejea"
2.56,0.547397853516288,11.9722793173229,0.239316541221495,"Flavonifractor","dejea"
5.0625,1.00031329307597,25.6208794058818,0.049860203756907,"Fusobacterium","dejea"
5.33333333333333,1.0196360339506,27.5365339058256,0.047167767768854,"Gemella","dejea"
0,0,3.92105030101069,0.307821471908843,"Haemophilus","dejea"
0,0,1.15187980947599,0.0655410821530713,"Herbaspirillum","dejea"
3.6,0.421746010429525,28.5100650080506,0.276986160507584,"Lachnoanaerobaculum","dejea"
0.458333333333333,0.053320152557543,4.14166890626085,0.539314576119204,"Lactobacillus","dejea"
0.73469387755102,0.162853214281521,3.31448842500497,0.694886602372473,"Lactococcus","dejea"
4.71428571428571,0.803421476574249,26.3401695641378,0.0891924184920865,"Leptotrichia","dejea"
0.518518518518518,0.109770747476298,2.46403224258262,0.42011267955064,"Leuconostoc","dejea"
1,0.0933711901250429,10.7099416710957,1,"Mobiluncus","dejea"
Inf,0.534875586548388,Inf,0.141031640520716,"Mogibacterium","dejea"
1,0.221882980758176,4.50688014278063,1,"Odoribacter","dejea"
1.36111111111111,0.301705684791615,6.14049900342352,0.694886602372473,"Oscillibacter","dejea"
0.390625,0.0835262838007029,1.82682484700362,0.239316541221495,"Parabacteroides","dejea"
0.458333333333333,0.053320152557543,4.14166890626085,0.539314576119204,"Paraprevotella","dejea"
1.37142857142857,0.299469049990637,6.27422897023988,0.691398336135107,"Parasutterella","dejea"
2.85714285714286,0.559495067642276,14.2873611233669,0.216200749837258,"Parvimonas","dejea"
Inf,0.534875586548388,Inf,0.141031640520716,"Peptoniphilus","dejea"
5.33333333333333,1.0196360339506,27.5365339058256,0.047167767768854,"Peptostreptococcus","dejea"
1.65,0.263246355639078,10.0767273166092,0.618756591300427,"Porphyromonas","dejea"
1.36111111111111,0.301705684791615,6.14049900342352,0.694886602372473,"Prevotella","dejea"
0.518518518518518,0.109770747476298,2.46403224258262,0.42011267955064,"Propionibacterium","dejea"
0.458333333333333,0.053320152557543,4.14166890626085,0.539314576119204,"Pyramidobacter","dejea"
0.73469387755102,0.162853214281521,3.31448842500497,0.694886602372473,"Roseburia","dejea"
0,0,3.92105030101069,0.307821471908843,"Ruminococcus","dejea"
2.56,0.547397853516288,11.9722793173229,0.239316541221495,"Ruminococcus2","dejea"
1.37142857142857,0.299469049990637,6.27422897023988,0.691398336135107,"Sphingomonas","dejea"
1.36111111111111,0.301705684791615,6.14049900342352,0.694886602372473,"Streptococcus","dejea"
1.36111111111111,0.301705684791615,6.14049900342352,0.694886602372473,"Subdoligranulum","dejea"
1,0.215543903975369,4.63942603597954,1,"Sutterella","dejea"
