"study","auc","pvalue","BH"
"wang","0.703998447204969","0.0371315381378397","0.0809552336060379"
"weir","0.714285714285714","0.0910210553499833","0.10922526641998"
"ahn","0.672951176983435","0.0490098778945252","0.0809552336060379"
"zeller","0.772497897392767","0.00223012830324649","0.013380769819479"
"baxter","0.664628378378378","0.0539701557373586","0.0809552336060379"
"hale","0.594828324342838","0.353206969927674","0.353206969927674"
"flemer","0.515399120050283",NA,NA
