"sens","spec","auc","study"
1,0,0.701669254658385,"wang"
0.695652173913043,0.446428571428571,0.701669254658385,"wang"
0.695652173913043,0.482142857142857,0.701669254658385,"wang"
0.695652173913043,0.517857142857143,0.701669254658385,"wang"
0.673913043478261,0.517857142857143,0.701669254658385,"wang"
0.652173913043478,0.535714285714286,0.701669254658385,"wang"
0.652173913043478,0.553571428571429,0.701669254658385,"wang"
0.630434782608696,0.607142857142857,0.701669254658385,"wang"
0.608695652173913,0.607142857142857,0.701669254658385,"wang"
0.608695652173913,0.625,0.701669254658385,"wang"
0.608695652173913,0.642857142857143,0.701669254658385,"wang"
0.608695652173913,0.660714285714286,0.701669254658385,"wang"
0.58695652173913,0.660714285714286,0.701669254658385,"wang"
0.565217391304348,0.678571428571429,0.701669254658385,"wang"
0.565217391304348,0.696428571428571,0.701669254658385,"wang"
0.565217391304348,0.714285714285714,0.701669254658385,"wang"
0.565217391304348,0.767857142857143,0.701669254658385,"wang"
0.543478260869565,0.767857142857143,0.701669254658385,"wang"
0.543478260869565,0.803571428571429,0.701669254658385,"wang"
0.543478260869565,0.857142857142857,0.701669254658385,"wang"
0.543478260869565,0.875,0.701669254658385,"wang"
0.543478260869565,0.892857142857143,0.701669254658385,"wang"
0.543478260869565,0.910714285714286,0.701669254658385,"wang"
0.543478260869565,0.928571428571429,0.701669254658385,"wang"
0.543478260869565,0.946428571428571,0.701669254658385,"wang"
0.521739130434783,0.946428571428571,0.701669254658385,"wang"
0.5,0.946428571428571,0.701669254658385,"wang"
0.5,0.964285714285714,0.701669254658385,"wang"
0.478260869565217,0.964285714285714,0.701669254658385,"wang"
0.456521739130435,0.964285714285714,0.701669254658385,"wang"
0.456521739130435,1,0.701669254658385,"wang"
0.434782608695652,1,0.701669254658385,"wang"
0.391304347826087,1,0.701669254658385,"wang"
0.369565217391304,1,0.701669254658385,"wang"
0.347826086956522,1,0.701669254658385,"wang"
0.326086956521739,1,0.701669254658385,"wang"
0.304347826086957,1,0.701669254658385,"wang"
0.282608695652174,1,0.701669254658385,"wang"
0.260869565217391,1,0.701669254658385,"wang"
0.239130434782609,1,0.701669254658385,"wang"
0.217391304347826,1,0.701669254658385,"wang"
0.195652173913043,1,0.701669254658385,"wang"
0.173913043478261,1,0.701669254658385,"wang"
0.152173913043478,1,0.701669254658385,"wang"
0.130434782608696,1,0.701669254658385,"wang"
0.108695652173913,1,0.701669254658385,"wang"
0.0869565217391304,1,0.701669254658385,"wang"
0.0217391304347826,1,0.701669254658385,"wang"
0,1,0.701669254658385,"wang"
1,0,0.785714285714286,"weir"
0.571428571428571,1,0.785714285714286,"weir"
0.428571428571429,1,0.785714285714286,"weir"
0.285714285714286,1,0.785714285714286,"weir"
0.142857142857143,1,0.785714285714286,"weir"
0,1,0.785714285714286,"weir"
1,0,0.740731707317073,"zeller"
0.951219512195122,0.14,0.740731707317073,"zeller"
0.951219512195122,0.16,0.740731707317073,"zeller"
0.951219512195122,0.18,0.740731707317073,"zeller"
0.902439024390244,0.18,0.740731707317073,"zeller"
0.902439024390244,0.2,0.740731707317073,"zeller"
0.902439024390244,0.22,0.740731707317073,"zeller"
0.902439024390244,0.24,0.740731707317073,"zeller"
0.902439024390244,0.26,0.740731707317073,"zeller"
0.902439024390244,0.28,0.740731707317073,"zeller"
0.902439024390244,0.3,0.740731707317073,"zeller"
0.902439024390244,0.32,0.740731707317073,"zeller"
0.902439024390244,0.34,0.740731707317073,"zeller"
0.902439024390244,0.36,0.740731707317073,"zeller"
0.902439024390244,0.4,0.740731707317073,"zeller"
0.902439024390244,0.42,0.740731707317073,"zeller"
