"diff","lwr","upr","p adj","comparison","measure"
0.277273281487771,0.0200664603226659,0.534480102652876,0.0310684838531685,"control-cancer","sobs"
-0.0440270284797361,-0.410021895142756,0.321967838183283,0.956805072220327,"polyp-cancer","sobs"
-0.321300309967507,-0.680361920601586,0.037761300666572,0.0900577963519593,"polyp-control","sobs"
0.275270881114535,0.0197011642383259,0.530840597990744,0.0312512199840065,"control-cancer","shannon"
-0.154585508146559,-0.518250841855461,0.209079825562344,0.577201148269586,"polyp-cancer","shannon"
-0.429856389261094,-0.786632596653983,-0.0730801818682046,0.0133651347363154,"polyp-control","shannon"
0.241156176056292,-0.0138957006360141,0.496208052748598,0.0683414885672691,"control-cancer","shannoneven"
-0.19791405317733,-0.560842521323328,0.165014414968669,0.405577168357382,"polyp-cancer","shannoneven"
-0.439070229233621,-0.795123529941373,-0.0830169285258703,0.0109416078185328,"polyp-control","shannoneven"
