otu,mda_median,iqr25,iqr75,study
Clostridium_XlVb,0.270689033189033,0.270689033189033,0.270689033189033,brim
Parasutterella,0.215604761904762,0.215604761904762,0.215604761904762,brim
Actinomyces,0.205350793650794,0.205350793650794,0.205350793650794,brim
Actinomycetales_unclassified,0.1941,0.1941,0.1941,brim
Sutterella,0.181884126984127,0.181884126984127,0.181884126984127,brim
Alistipes,0.180773015873016,0.180773015873016,0.180773015873016,brim
Odoribacter,0.1712443001443,0.1712443001443,0.1712443001443,brim
Candidatus_Saccharibacteria_unclassified,0.147696825396825,0.147696825396825,0.147696825396825,brim
Clostridium_XVIII,0.126590476190476,0.126590476190476,0.126590476190476,brim
Blautia,0.119466666666667,0.119466666666667,0.119466666666667,brim
Firmicutes_unclassified,0.109480952380952,0.109480952380952,0.109480952380952,brim
Oscillibacter,0.0983572871572871,0.0983572871572871,0.0983572871572871,brim
Bifidobacterium,0.0906936507936508,0.0906936507936508,0.0906936507936508,brim
Comamonadaceae_unclassified,0.0891428571428571,0.0891428571428571,0.0891428571428571,brim
Lachnospiraceae_unclassified,0.0838950937950938,0.0838950937950938,0.0838950937950938,brim
Veillonella,0.0825619047619048,0.0825619047619048,0.0825619047619048,brim
Erysipelotrichaceae_unclassified,0.0791111111111111,0.0791111111111111,0.0791111111111111,brim
Paraprevotella,0.074331746031746,0.074331746031746,0.074331746031746,brim
Bacteroides,0.0705460317460317,0.0705460317460317,0.0705460317460317,brim
Lactococcus,0.0683031746031746,0.0683031746031746,0.0683031746031746,brim
Dialister,0.0630269841269841,0.0630269841269841,0.0630269841269841,brim
Erysipelothrix,0.062947619047619,0.062947619047619,0.062947619047619,brim
Clostridia_unclassified,0.0605873015873016,0.0605873015873016,0.0605873015873016,brim
Solobacterium,0.0604603174603175,0.0604603174603175,0.0604603174603175,brim
Prevotellaceae_unclassified,0.0592666666666666,0.0592666666666666,0.0592666666666666,brim
Parabacteroides,0.0580698412698413,0.0580698412698413,0.0580698412698413,brim
Megasphaera,0.0566017316017316,0.0566017316017316,0.0566017316017316,brim
Coprobacillus,0.0564333333333333,0.0564333333333333,0.0564333333333333,brim
Collinsella,0.0563935064935065,0.0563935064935065,0.0563935064935065,brim
Bilophila,0.054968253968254,0.054968253968254,0.054968253968254,brim
Clostridium_XI,0.0547111111111111,0.0547111111111111,0.0547111111111111,brim
Clostridium_IV,0.0536857142857143,0.0536857142857143,0.0536857142857143,brim
Ruminococcaceae_unclassified,0.0527174603174603,0.0527174603174603,0.0527174603174603,brim
Faecalibacterium,0.0526730158730159,0.0526730158730159,0.0526730158730159,brim
