"study","auc","pvalue","BH"
"wang",0.794060559006211,1,1
"weir",0.803571428571429,0.947500531168497,1
"ahn",0.584895379250218,0.00113326434247446,0.00793285039732119
"zeller",0.752926829268293,0.544063681798956,0.761689154518539
"baxter",0.726114341085271,0.217243991876238,0.380176985783417
"hale",0.686917050118145,0.194429264961351,0.380176985783417
"flemer",0.661847894406034,0.0774331125771501,0.271015894020025
