"measure","study","high_N","high_Y","low_N","low_Y"
"Coprococcus","dejea",2,3,12,16
"Coprococcus","flemer",89,28,51,66
"Coprococcus","geng",4,4,4,4
"Coprococcus","sana",18,17,20,16
"Corynebacterium","burns",8,6,7,7
"Corynebacterium","chen",7,2,2,7
"Corynebacterium","dejea",1,0,13,19
"Corynebacterium","flemer",25,8,115,86
"Corynebacterium","geng",5,3,3,5
"Corynebacterium","sana",20,15,18,18
"Dialister","burns",4,9,11,4
"Dialister","chen",6,3,3,6
"Dialister","dejea",6,10,8,9
"Dialister","flemer",81,36,59,58
"Dialister","geng",1,6,7,2
"Dialister","sana",18,16,20,17
"Dorea","burns",8,6,7,7
"Dorea","chen",7,2,2,7
"Dorea","dejea",5,11,9,8
"Dorea","flemer",85,32,55,62
"Dorea","geng",5,3,3,5
"Dorea","sana",23,12,15,21
"Eggerthella","burns",0,3,15,10
"Eggerthella","chen",5,4,4,5
"Eggerthella","dejea",2,4,12,15
"Eggerthella","flemer",58,32,82,62
"Eggerthella","geng",2,0,6,8
"Eggerthella","sana",17,18,21,15
"Eikenella","burns",0,1,15,12
"Eikenella","chen",5,4,4,5
"Eikenella","dejea",0,1,14,18
"Eikenella","flemer",7,9,133,85
"Eikenella","geng",2,2,6,6
"Eikenella","sana",2,2,36,31
"Enterococcus","burns",0,1,15,12
"Enterococcus","chen",5,4,4,5
"Enterococcus","dejea",1,1,13,18
"Enterococcus","flemer",9,19,131,75
"Enterococcus","geng",4,4,4,4
"Enterococcus","sana",9,7,29,26
"Finegoldia","burns",4,1,11,12
"Finegoldia","chen",4,0,5,9
"Finegoldia","dejea",0,2,14,17
"Finegoldia","flemer",13,4,127,90
"Finegoldia","geng",0,1,8,7
"Finegoldia","sana",13,8,25,25
"Flavonifractor","burns",2,4,13,9
"Flavonifractor","chen",6,3,3,6
"Flavonifractor","dejea",6,10,8,9
"Flavonifractor","flemer",69,48,71,46
"Flavonifractor","geng",1,1,7,7
"Flavonifractor","sana",18,17,20,16
"Fusobacterium","burns",7,7,8,6
"Fusobacterium","chen",5,4,4,5
"Fusobacterium","dejea",3,13,11,6
"Fusobacterium","flemer",63,53,77,41
"Fusobacterium","geng",3,5,5,3
"Fusobacterium","sana",16,19,22,14
"Gemella","burns",5,4,10,9
"Gemella","chen",5,4,4,5
"Gemella","dejea",3,10,11,9
"Gemella","flemer",49,32,91,62
"Gemella","geng",3,4,5,4
"Gemella","sana",14,18,24,15
"Haemophilus","burns",1,4,14,9
"Haemophilus","chen",6,1,3,8
"Haemophilus","dejea",1,0,13,19
"Haemophilus","flemer",74,43,66,51
"Haemophilus","geng",3,0,5,8
"Haemophilus","sana",21,12,17,21
"Lactobacillus","burns",7,7,8,6
"Lactobacillus","chen",5,1,4,8
"Lactobacillus","dejea",2,2,12,17
"Lactobacillus","flemer",27,35,113,59
"Lactobacillus","geng",1,7,7,1
"Lactobacillus","sana",13,22,25,11
"Lactococcus","burns",2,1,13,12
"Lactococcus","chen",1,0,8,9
"Lactococcus","dejea",6,9,8,10
"Lactococcus","flemer",6,5,134,89
"Lactococcus","geng",0,1,8,7
"Lactococcus","sana",14,21,24,12
"Leptotrichia","burns",1,2,14,11
"Leptotrichia","chen",4,5,5,4
"Leptotrichia","dejea",2,9,12,10
"Leptotrichia","flemer",8,15,132,79
"Leptotrichia","geng",2,3,6,5
"Leptotrichia","sana",1,2,37,31
"Leuconostoc","burns",1,1,14,12
"Leuconostoc","chen",2,1,7,8
"Leuconostoc","dejea",6,6,8,13
"Leuconostoc","flemer",4,3,136,91
"Leuconostoc","geng",1,1,7,7
"Leuconostoc","sana",5,15,33,18
"Mobiluncus","burns",0,1,15,12
"Mobiluncus","chen",2,1,7,8
"Mobiluncus","dejea",1,1,13,18
"Mobiluncus","flemer",2,5,138,89
"Mobiluncus","geng",2,3,6,5
"Mobiluncus","sana",0,1,38,32
"Mogibacterium","burns",2,1,13,12
"Mogibacterium","chen",4,5,5,4
"Mogibacterium","dejea",0,2,14,17
"Mogibacterium","flemer",35,46,105,48
"Mogibacterium","geng",0,1,8,7
"Mogibacterium","sana",9,5,29,28
"Odoribacter","burns",5,3,10,10
"Odoribacter","chen",6,3,3,6
"Odoribacter","dejea",6,10,8,9
"Odoribacter","flemer",72,45,68,49
"Odoribacter","geng",3,4,5,4
"Odoribacter","sana",18,17,20,16
"Oscillibacter","burns",9,3,6,10
"Oscillibacter","chen",4,5,5,4
"Oscillibacter","dejea",8,8,6,11
"Oscillibacter","flemer",65,52,75,42
"Oscillibacter","geng",3,5,5,3
"Oscillibacter","sana",21,14,17,19
"Parabacteroides","burns",9,5,6,8
"Parabacteroides","chen",4,5,5,4
"Parabacteroides","dejea",10,6,4,13
"Parabacteroides","flemer",66,51,74,43
"Parabacteroides","geng",4,4,4,4
"Parabacteroides","sana",18,17,20,16
"Paraprevotella","burns",0,0,15,13
"Paraprevotella","chen",6,1,3,8
"Paraprevotella","dejea",2,3,12,16
"Paraprevotella","flemer",53,41,87,53
"Paraprevotella","geng",3,3,5,5
"Paraprevotella","sana",7,18,31,15
"Parasutterella","burns",6,3,9,10
"Parasutterella","chen",7,1,2,8
"Parasutterella","dejea",5,7,9,12
"Parasutterella","flemer",64,51,76,43
"Parasutterella","geng",3,5,5,3
"Parasutterella","sana",18,17,20,16
"Parvimonas","burns",6,5,9,8
"Parvimonas","chen",4,5,5,4
"Parvimonas","dejea",3,8,11,11
"Parvimonas","flemer",34,38,106,56
"Parvimonas","geng",5,3,3,5
"Parvimonas","sana",1,2,37,31
"Peptoniphilus","burns",2,1,13,12
"Peptoniphilus","chen",6,3,3,6
"Peptoniphilus","dejea",0,2,14,17
"Peptoniphilus","flemer",19,13,121,81
"Peptoniphilus","geng",1,7,7,1
"Peptoniphilus","sana",7,8,31,25
"Peptostreptococcus","burns",3,4,12,9
"Peptostreptococcus","chen",6,3,3,6
"Peptostreptococcus","dejea",3,9,11,10
"Peptostreptococcus","flemer",34,33,106,61
"Peptostreptococcus","geng",3,2,5,6
"Peptostreptococcus","sana",4,6,34,27
"Porphyromonas","burns",6,5,9,8
"Porphyromonas","chen",6,3,3,6
"Porphyromonas","dejea",2,3,12,16
"Porphyromonas","flemer",33,32,107,62
"Porphyromonas","geng",2,5,6,3
"Porphyromonas","sana",5,2,33,31
"Prevotella","burns",10,4,5,9
"Prevotella","chen",5,4,4,5
"Prevotella","dejea",6,10,8,9
"Prevotella","flemer",56,61,84,33
"Prevotella","geng",3,5,5,3
"Prevotella","sana",16,19,22,14
"Propionibacterium","burns",7,7,8,6
"Propionibacterium","chen",6,0,3,9
"Propionibacterium","dejea",6,5,8,14
"Propionibacterium","flemer",4,7,136,87
"Propionibacterium","geng",4,4,4,4
"Propionibacterium","sana",18,17,20,16
"Roseburia","burns",9,5,6,8
"Roseburia","chen",6,3,3,6
"Roseburia","dejea",7,9,7,10
"Roseburia","flemer",69,48,71,46
"Roseburia","geng",3,5,5,3
"Roseburia","sana",16,19,22,14
"Ruminococcus","burns",1,1,14,12
"Ruminococcus","chen",6,3,3,6
"Ruminococcus","dejea",1,0,13,19
"Ruminococcus","flemer",56,61,84,33
"Ruminococcus","geng",2,4,6,4
"Ruminococcus","sana",18,16,20,17
"Ruminococcus2","burns",8,6,7,7
"Ruminococcus2","chen",5,4,4,5
"Ruminococcus2","dejea",6,10,8,9
"Ruminococcus2","flemer",100,17,40,77
"Ruminococcus2","geng",5,3,3,5
"Ruminococcus2","sana",22,13,16,20
"Sphingomonas","burns",4,5,11,8
"Sphingomonas","chen",3,0,6,9
"Sphingomonas","dejea",6,10,8,9
"Sphingomonas","flemer",1,2,139,92
"Sphingomonas","geng",5,2,3,6
"Sphingomonas","sana",18,17,20,16
"Streptococcus","burns",7,7,8,6
"Streptococcus","chen",5,4,4,5
"Streptococcus","dejea",6,10,8,9
"Streptococcus","flemer",52,65,88,29
"Streptococcus","geng",3,5,5,3
"Streptococcus","sana",21,14,17,19
"Subdoligranulum","burns",8,5,7,8
"Subdoligranulum","chen",5,1,4,8
"Subdoligranulum","dejea",6,10,8,9
"Subdoligranulum","flemer",14,3,126,91
"Subdoligranulum","geng",2,2,6,6
"Subdoligranulum","sana",12,23,26,10
"Sutterella","burns",3,1,12,12
"Sutterella","chen",4,5,5,4
"Sutterella","dejea",5,5,9,14
"Sutterella","flemer",78,39,62,55
"Sutterella","geng",0,3,8,5
"Sutterella","sana",17,18,21,15
"Veillonella","burns",4,6,11,7
"Veillonella","chen",3,0,6,9
"Veillonella","dejea",2,2,12,17
"Veillonella","flemer",75,41,65,53
"Veillonella","geng",2,6,6,2
"Veillonella","sana",21,14,17,19
