"full_model","select_model","pvalue","BH","study","train_model"
0.875,0.583333333333333,0.056928664436152,0.303619543659477,"burns","burns"
0.592439578599463,0.598688287543896,0.912848140578833,0.912848140578833,"flemer","burns"
0.537037037037037,0.722222222222222,0.0822840821721193,0.329136328688477,"chen","burns"
0.502392344497608,0.51555023923445,0.886460934597013,0.912848140578833,"sana","burns"
0.575,0.458333333333333,0.55728548774771,0.860335178883562,"burns","flemer"
0.996798182193762,0.685757074984507,1.51033960614608e-16,2.41654336983373e-15,"flemer","flemer"
0.524691358024691,0.580246913580247,0.803214538408082,0.912848140578833,"chen","flemer"
0.637161084529506,0.563397129186603,0.395950646230149,0.860335178883562,"sana","flemer"
0.695833333333333,0.654166666666667,0.699022332842894,0.860335178883562,"burns","chen"
0.683743028299938,0.628589134476348,0.360028856228136,0.860335178883562,"flemer","chen"
0.654320987654321,0.54320987654321,0.640612920596407,0.860335178883562,"chen","chen"
0.712918660287081,0.517543859649123,0.0248439187939017,0.198751350351214,"sana","chen"
0.683333333333333,0.5,0.210697863415473,0.674233162929513,"burns","sana"
0.612683329890518,0.571731047304276,0.457708636889808,0.860335178883562,"flemer","sana"
0.722222222222222,0.641975308641975,0.689863461753857,0.860335178883562,"chen","sana"
0.66866028708134,0.618022328548644,0.492940904292003,0.860335178883562,"sana","sana"
