"Group","Abiotrophia","Acetivibrio","Acidaminococcaceae_unclassified","Acidaminococcus","Acinetobacter","Actinobacteria_unclassified","Actinomyces","Actinomycetales_unclassified","Aggregatibacter","Akkermansia","Alistipes","Alkalibaculum","Allisonella","Allobaculum","Alloprevotella","Alloscardovia","Alphaproteobacteria_unclassified","Anaerobacter","Anaerococcus","Anaerofustis","Anaeroglobus","Anaeroplasma","Anaerostipes","Anaerotruncus","Arcobacter","Asaccharobacter","Atopobium","Bacillales_unclassified","Bacilli_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Brochothrix","Burkholderiales_incertae_sedis_unclassified","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Campylobacter","Campylobacterales_unclassified","Candidatus_Saccharibacteria_unclassified","Capnocytophaga","Cardiobacterium","Carnobacterium","Catenibacterium","Cellulosilyticum","Cloacibacillus","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_Incertae_Sedis_XIII_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonadaceae_unclassified","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacteriaceae_unclassified","Corynebacterium","Delftia","Deltaproteobacteria_unclassified","Desulfovibrio","Desulfovibrionaceae_unclassified","Desulfovibrionales_unclassified","Dialister","Dorea","Dysgonomonas","Eggerthella","Eikenella","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Enterorhabdus","Erysipelothrix","Erysipelotrichaceae_unclassified","Escherichia/Shigella","Ethanoligenens","Eubacteriaceae_unclassified","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavonifractor","Fructobacillus","Fusobacteriaceae_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Gemella","Gemmiger","Geobacillus","Gordonibacter","Granulicatella","Haemophilus","Hallella","Helcococcus","Holdemania","Howardella","Kingella","Klebsiella","Lachnospira","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Lactonifactor","Leptotrichia","Leuconostoc","Marvinbryantia","Megamonas","Megasphaera","Methylobacterium","Mitsuokella","Mogibacterium","Moraxellaceae_unclassified","Morganella","Murdochiella","Negativicoccus","Neisseria","Neisseriaceae_unclassified","Novosphingobium","Odoribacter","Olsenella","Oscillibacter","Oxalobacter","Pantoea","Parabacteroides","Paraeggerthella","Paraprevotella","Parascardovia","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Pediococcus","Pelomonas","Peptococcaceae_1_unclassified","Peptococcus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Planococcaceae_unclassified","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacteriaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pseudoramibacter","Pyramidobacter","Rhizobiales_unclassified","Rikenella","Rikenellaceae_unclassified","Roseburia","Rothia","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Salmonella","Sarcina","Selenomonadales_unclassified","Selenomonas","Serratia","Shuttleworthia","Slackia","Soonwooa","Sphingomonadaceae_unclassified","SR1_unclassified","Staphylococcus","Stenotrophomonas","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Sutterella","Synergistaceae_unclassified","Turicibacter","Veillonella","Veillonellaceae_unclassified","Weissella","Xanthomonadaceae_unclassified"
"SRR1978713",0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,1,1108,0,2,0,1,101,3,420,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,24,0,0,145,45,12,39,0,5,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,15,3,0,0,0,670,0,0,219,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52,2107,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,95,0,8,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,459,130,79,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,15,0,0,0,0
"SRR1978714",2,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,21,5,0,0,0,0,0,491,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,21,0,0,75,3,0,186,0,0,0,1,6,0,0,0,4,0,1,0,0,0,0,0,0,63,0,1,1,0,0,0,0,0,44,9,0,0,1,353,0,0,27,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,9,914,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,84,0,0,0,0,0,0,0,0,0,0,0,0,3,0,135,1,218,0,0,17,0,0,0,2,0,0,0,0,0,0,29,0,0,0,0,4,0,0,0
"SRR1978715",0,0,0,0,0,4,2,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,36,0,0,0,0,17,0,778,0,0,0,25,0,0,0,0,0,0,0,167,0,0,19,5,0,0,22,7,0,0,0,0,0,0,93,0,0,0,10,0,0,0,0,0,0,0,1,164,0,0,0,0,0,0,0,0,334,0,0,0,0,251,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1229,1,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,214,221,218,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0
"SRR1978716",0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,923,0,38,0,0,126,2,507,0,0,9,55,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44,1,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,76,30,0,0,0,0,0,0,0,0,25,0,0,0,0,704,0,0,33,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,0,0,126,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,36,0,0,97,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18,0,251,85,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"SRR1978717",0,0,0,0,0,0,1,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,509,2,3,1,0,0,3,281,0,0,5,7,2,0,0,0,0,0,0,0,0,0,1,32,0,0,153,1,0,12,0,1,0,0,19,0,0,0,5,0,0,0,0,1,0,2,0,34,0,0,0,0,0,0,0,0,6,3,1,0,0,331,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,291,1,31,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"SRR1978719",0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,141,1581,115,22,1,0,43,0,259,0,0,0,23,8,0,0,0,0,0,0,0,0,0,1,26,0,0,64,44,0,39,0,0,0,0,18,0,0,0,7,0,0,0,1,1,12,0,0,66,0,0,0,0,0,0,0,0,1,0,0,0,0,418,0,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,691,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,26,0,0,20,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,232,12,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"SRR1978720",0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,8,1,0,0,0,0,1,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0,0,37,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,1326,0,0,0,13,0,0,4,0,0,0,0,1,0,0,0,0,0,6,5,0,0,0,0,0,0,0,42,0,4,10,1,0,8,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3456,0,33,0,184,32,0,0,0
"SRR1978721",0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,114,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,729,0,0,8,0,72,1145,0,1,0,1,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,182,6,84,0,0,0,950,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,5,40,0,0,0,1,0,304,0,21,0,2452,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,154,0,0,0,0,50,0,0,0
"SRR1978722",0,0,0,3,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,772,0,0,1,0,168,2,155,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,53,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,143,15,0,5,0,0,0,5,2,0,3,0,0,0,0,392,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,28,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,2,0,321,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"SRR1978723",0,0,0,257,0,0,2,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,758,0,3,0,3,102,2,680,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,13,0,8,0,2,14,0,143,0,0,0,9,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,3,1,0,0,0,610,0,0,3,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,28,918,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,6,0,3,3,0,0,0
