"Abiotrophia","Acetivibrio","Acidaminococcaceae_unclassified","Acidaminococcus","Acinetobacter","Actinobacteria_unclassified","Actinomyces","Actinomycetales_unclassified","Aggregatibacter","Akkermansia","Alistipes","Alkalibaculum","Allisonella","Allobaculum","Alloprevotella","Alloscardovia","Alphaproteobacteria_unclassified","Anaerobacter","Anaerococcus","Anaerofustis","Anaeroglobus","Anaeroplasma","Anaerostipes","Anaerotruncus","Arcobacter","Asaccharobacter","Atopobium","Bacillales_unclassified","Bacilli_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Brochothrix","Burkholderiales_incertae_sedis_unclassified","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Campylobacter","Campylobacterales_unclassified","Candidatus_Saccharibacteria_unclassified","Capnocytophaga","Cardiobacterium","Carnobacterium","Catenibacterium","Cellulosilyticum","Cloacibacillus","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_Incertae_Sedis_XIII_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonadaceae_unclassified","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacteriaceae_unclassified","Corynebacterium","Delftia","Deltaproteobacteria_unclassified","Desulfovibrio","Desulfovibrionaceae_unclassified","Desulfovibrionales_unclassified","Dialister","Dorea","Dysgonomonas","Eggerthella","Eikenella","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Enterorhabdus","Erysipelothrix","Erysipelotrichaceae_unclassified","Escherichia.Shigella","Ethanoligenens","Eubacteriaceae_unclassified","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavonifractor","Fructobacillus","Fusobacteriaceae_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Gemella","Gemmiger","Geobacillus","Gordonibacter","Granulicatella","Haemophilus","Hallella","Helcococcus","Holdemania","Howardella","Kingella","Klebsiella","Lachnospira","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Lactonifactor","Leptotrichia","Leuconostoc","Marvinbryantia","Megamonas","Megasphaera","Methylobacterium","Mitsuokella","Mogibacterium","Moraxellaceae_unclassified","Morganella","Murdochiella","Negativicoccus","Neisseria","Neisseriaceae_unclassified","Novosphingobium","Odoribacter","Olsenella","Oscillibacter","Oxalobacter","Pantoea","Parabacteroides","Paraeggerthella","Paraprevotella","Parascardovia","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Pediococcus","Pelomonas","Peptococcaceae_1_unclassified","Peptococcus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Planococcaceae_unclassified","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacteriaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pseudoramibacter","Pyramidobacter","Rhizobiales_unclassified","Rikenella","Rikenellaceae_unclassified","Roseburia","Rothia","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Salmonella","Sarcina","Selenomonadales_unclassified","Selenomonas","Serratia","Shuttleworthia","Slackia","Soonwooa","Sphingomonadaceae_unclassified","SR1_unclassified","Staphylococcus","Stenotrophomonas","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Sutterella","Synergistaceae_unclassified","Turicibacter","Veillonella","Veillonellaceae_unclassified","Weissella","Xanthomonadaceae_unclassified"
0,0,0,0,0,0,0,0,0,0,40.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.19,0.2,267.04,0,4.54,0,0,32.55,0,186.45,0,0,0,2.41,0.19,0,0,0,0,0,0,0,0,0,0,4.5,0,0,12.16,0,0,0,0,0,0,0,0.71,0,0,0.95,0.9,0,0,0,0,0,0,0,13.08,6.45,0,0,0,0,0,0,0,0,10.22,0,0,0,0,64.11,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45,272.33,0,0,0,1.48,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0.23,0,0,22.04,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,1.4,0,37.15,0.21,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.99,0,0,0,0,0,0,0,0
0,0,0,0,0,4.91,0.35,0,0,0,0.58,0,0,0,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.06,5.91,31.01,0.89,0,0,0,0.13,0,95.87,0,0,0,3.73,0.46,0,0,0,0,0,0,0,0,0,0.7,27.99,0,0,15.95,0.18,2.92,80,0,0,0.18,1.02,3.46,0,0,0,6.81,0,0,0,0,1.7,0,0,0,31.91,0,0,0,2.02,0.18,0.18,0,0,4.56,7.14,0,0,0.19,49.06,0.33,0,6.8,0,0.52,0,0,1.11,0,1.47,0,0,0,0,0.3,0,0,0,0,0,6,43.25,328.8,0.12,0.15,0.19,0,0,0.22,0.33,0.12,0,0.21,0,0,0.18,0,0,0,0,0.21,0,0,0.41,0,2.25,0,0,5.96,0,1.9,0,0,0.19,0.13,0,0,0,0,0,0,0,0,0,0,0,73.33,2.42,0,0,0,0,0,0,3.48,0,0,0,0,1.54,1.39,36.95,22.96,27.11,0,0,6.15,0,0,0,0,0,0,0,0,0,0,12.35,0,1.37,0,19.84,1.04,0,0,0
0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0.21,179.71,0,0,0.27,0.47,31.01,0,101.73,0,0,0.67,3.97,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,7.78,0,0,4.45,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,53.59,15.64,0,0.95,0,0,0.21,2.98,0,0,1.65,0,0,0,0,101.7,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,8.15,368.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,3.57,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.13,0,0,0,0,0,0,0,0,0,0,0,1.73,0,86.46,7.99,5.85,0,0,0.95,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0.37,0.5,0,0
0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.81,0,198.02,0.19,0,0,0,0.23,0,179.32,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0.26,2.64,0,0,28.75,0.18,0.67,31.39,0,0,0,0,0.52,5.16,0,0,4.14,0,0,0,0,0,0,0,0,5.27,0,0.23,0,0,0,0,0,0,0,0.26,0,0,0,127.91,0,0,7.71,0,0.2,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,20.83,150.63,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,1.56,0,0,25.75,0,0,0,0,0,0,0,0,0,0,0,0.55,0,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.71,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0.28,0,0,0,0.23,0,0,0,0
0,0,0,0,0,0,0.33,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,18.42,0,0,0,0,0.63,0.55,300.96,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,7.45,7.2,0,18.1,0,0,0.54,0,0,0,0,0.26,0,0,0,0,0,0,0,0,30.74,34.61,0,1.68,0,0,0,0,0,0,0.93,0,0,0,0,266.29,0,0,3.87,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,303.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.65,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,9.75,6.93,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,11.64,0,0,0,0
0,0,0,0,0,0,0,0,0,3.1,115.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.72,0,99.47,0,0,0,0,0.24,0,67.12,0,0,0,0.61,0,0,0,0,0,0,0,0,0,1.16,0.43,0,0,0,46.36,8.41,0,0,0,0.86,4.72,0.5,0,0,1.4,0,3.93,0,0,0,0,2.12,0,0,0,6.19,0,3.84,0,0,0.82,146.47,0,0,0,70.55,0,78.42,0,1.16,0,0,17.59,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.06,0,1.56,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,3.46,0,0,0,0,0,0.21,0,0,0,1.56,0,0,0,0,0,0,11.44,0,0.2,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3,0,30.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,1.38,0,0,0,0,0,0
0,0,0,0,0,0,0,0.29,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,3.57,0,0,0,0,0,0,366.24,0,0,0,3.42,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1.99,1.28,0,18.32,0,1.22,0,0.85,0,0,0,0,3.06,0,0,0,0,0,0,0,41.2,66.6,0,0.55,0,0,0,0,0,0,0,0.66,0,0,0,158.57,0,0,0,0,0.58,0,0,0,0,0,0,0,0,2.31,0.26,0,0,0,0,0,26.18,0,312.82,0,0.38,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0.73,0,0,0
0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,53.01,2.39,108.89,2.26,0,1.11,0.43,94.82,0,96.44,0,0,0.92,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,25.96,0,0,0,0,0,0,0,0,0.4,0,0,0,1.09,0,0,0,40.53,13.59,0,3.44,0,0,0,0,0,0,3.27,2.29,0,0,0,79.75,0,0,0.61,0,0.84,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,9.83,334.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,13.62,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.09,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9,28.76,23.53,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0.38,0.41,0,0
0,0,0,0,0,0.3,0.69,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.68,0,21.74,0.4,0,0,0,1.89,0,85.21,0,0,0,69.87,0.37,0,0,0,0,0,0,2.71,0,0,0.42,33.43,0,0,21.61,0.42,0,56.67,0,0,0,0.72,38.22,0,0,0,26.24,0,0,0,0,0,0,0,0,40.58,0,0,0,0,0,0,0,0,0,0.37,0,0,0,42.16,0,0,23.22,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,15.69,220.33,0,0,0,0.64,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.73,32.35,53.28,0,0,1.08,0,0,0,1.79,0,0,0,0,0,0,1.62,0,0.36,0,0,0,0,0,0
0,0.26,0,0,0,0,0.24,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.33,4.56,187.61,1.29,1.14,0.31,0,0,0,105.61,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,24.32,1.47,0,19.65,0,0,0,0,6.67,0,0,0,7.05,0,0,0,0.28,0,0,1.82,0.85,14.26,0,0,0,0,0,0,0,0,7.18,16.92,0,0,0,85.22,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,5.81,246.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,2.66,0,0,0,0,0,0,0,0,0,6.05,0,1.07,0,0,0,34.09,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,2.41,0,157.55,14.98,0.25,0,0,10.93,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,2.84,0,0,0,0
