ID,Filename
APC033.001A,NG-8532_APC033_001A_run3_lib91118_4092_1
APC033.001C,NG-8532_APC033_001C_run3_lib91119_4092_1
APC033.002B,NG-8532_APC033_002B_run3_lib91019_4092_1
APC033.003A,NG-8532_APC033_003A_run3_lib91120_4092_1
APC033.003C,NG-8532_APC033_003C_run3_lib91121_4092_1
APC033.004UDP,NG-8532_APC033_004UDP_run3_lib90875_4092_1
APC033.005A,NG-8532_APC033_005A_run3_lib91122_4092_1
APC033.005C,NG-8532_APC033_005C_run3_lib91123_4092_1
APC033.006OFF,NG-8532_APC033_006OFFE_run3_lib90912_4092_1
APC033.006ON,NG-8532_APC033_006ONE_run3_lib91025_4092_1
APC033.008A,NG-8532_APC033_008A_run3_lib90956_4092_1
APC033.008C,NG-8532_APC033_008C_run3_lib90988_4092_1
APC033.009A,NG-8532_APC033_009A_run3_lib91124_4092_1
APC033.010A,NG-8532_APC033_010A_run3_lib90901_4092_1
APC033.010C,NG-8532_APC033_010C_run3_lib90967_4092_1
APC033.011A,NG-8532_APC033_011A_run3_lib90924_4092_1
APC033.011C,NG-8532_APC033_011C_run3_lib90894_4092_1
APC033.012A,NG-8532_APC033_012A_run3_lib91042_4092_1
APC033.012C,NG-8532_APC033_012C_run3_lib91043_4092_1
APC033.013A,NG-8532_APC033_013A_run3_lib91044_4092_1
APC033.013C,NG-8532_APC033_013C_run3_lib91045_4092_1
APC033.014A,NG-8532_APC033_014A_run3_lib90982_4092_1
APC033.014C,NG-8532_APC033_014C_run3_lib90780_4092_1
APC033.015A,NG-8532_APC033_015A_run3_lib91046_4092_1
APC033.015C,NG-8532_APC033_015C_run3_lib91047_4092_1
APC033.016A,NG-8532_APC033_016A_run3_lib91048_4092_1
APC033.016C,NG-8532_APC033_016C_run3_lib91049_4092_1
APC033.017A,NG-8532_APC033_017A_run3_lib91050_4092_1
APC033.017C,NG-8532_APC033_017C_run3_lib91051_4092_1
APC033.019A,NG-8532_APC033_019A_run3_lib91052_4092_1
APC033.019C,NG-8532_APC033_019C_run3_lib91053_4092_1
APC033.020A,NG-8532_APC033_020A_run3_lib91054_4092_1
APC033.020C,NG-8532_APC033_020C_run3_lib91055_4092_1
APC033.021A,NG-8532_APC033_021A_run3_lib91056_4092_1
APC033.021C,NG-8532_APC033_021C_run3_lib91057_4092_1
APC033.022C,NG-8532_APC033_022C_run3_lib90884_4092_1
APC033.027A,NG-8532_APC033_027A_run3_lib90989_4092_1
APC033.027C,NG-8532_APC033_027C_run3_lib90782_4092_1
APC033.029C,NG-8532_APC033_029C_run3_lib90931_4092_1
APC033.030A,NG-8532_APC033_030A_run3_lib90879_4092_1
APC033.030C,NG-8532_APC033_030C_run3_lib90922_4092_1
APC033.031A,NG-8532_APC033_031A_run3_lib91000_4092_1
APC033.031C,NG-8532_APC033_031C_run3_lib90851_4092_1
APC033.032A,NG-8532_APC033_032A_run3_lib90926_4092_1
APC033.032C,NG-8532_APC033_032C_run3_lib90891_4092_1
APC033.033A,NG-8532_APC033_033A_run3_lib91028_4092_1
APC033.033C,NG-8532_APC033_033C_run3_lib90836_4092_1
APC033.035A,NG-8532_APC033_035A_run3_lib90985_4092_1
APC033.035C,NG-8532_APC033_035C_run3_lib90841_4092_1
APC033.036C,NG-8532_APC033_036C_run3_lib90978_4092_1
APC033.037A,NG-8532_APC033_037A_run3_lib91022_4092_1
APC033.038A,NG-8532_APC033_038A_run3_lib90977_4092_1
APC033.038C,NG-8532_APC033_038C_run3_lib90980_4092_1
APC033.039A,NG-8532_APC033_039A_run3_lib90932_4092_1
APC033.039C,NG-8532_APC033_039C_run3_lib90905_4092_1
APC033.041A,NG-8532_APC033_041A_run3_lib91018_4092_1
APC033.041C,NG-8532_APC033_041C_run3_lib90810_4092_1
